case_id,step,angle_apparent_deg,max_mach,nonfinite_total,active_count,normal_limiter_fraction,vector_limiter_fraction,limiter_ratio_p50,normal_delta_limited_p99
cap_theta030_wall005_mode1,1000,29.476409823874466,1.1635696682809229e-05,0,7984,0.8877755511022044,0.0,0.10356944893568075,-7.625541959810584e-06
cap_theta030_wall008_mode1,1000,29.47654947637532,1.1221795779905838e-05,0,7952,0.852112676056338,0.0,0.18885334203365164,-3.943679792359245e-06
cap_theta030_wall011_mode1,1000,29.476761740014496,1.0613458082881765e-05,0,7896,0.8318135764944276,0.0,0.3017112655314392,-3.3333871603891114e-06
cap_theta030_wall015_mode1,1000,29.477180399852635,9.492780825878539e-06,0,7856,0.7810590631364562,0.0,0.5313861836669614,-1.6862805440553716e-06
cap_theta030_wall020_mode1,1000,29.492623931639816,7.574215570511628e-06,0,7760,0.33298969072164947,0.0,1.0,-1.0828996787245382e-06
cap_theta030_wall025_mode1,1000,29.48717697042463,5.042724225605722e-06,0,7656,0.0,0.0,1.0,-6.917313651857517e-08
cap_theta030_wall030_mode1,1000,29.48025328779166,1.8458367665547906e-06,0,7508,0.0,0.0,1.0,0.019982619812245007
