case,step,mask,candidate,cell_count,force_over_rho_max,force_over_rho_p99,net_force_norm,net_over_term_sum,fmu_fraction_sum_mag,fsurf_sum_mag,fpressure_sum_mag,fbody_sum_mag,fmu_sum_mag,total_sum_mag,argmax_fsurf,argmax_fpressure,argmax_fbody,argmax_fmu,argmax_total,argmax_force_over_rho,argmax_rho_eff,note
wall_60to30_10,13,fluid_all,zero,689208,4.056507467628418,0.0008148517603594827,67.97476088144265,0.9967110548514562,0.0,0.08895795471979154,68.11010590694592,0.0,0.0,68.09003916588472,8.316987861618724e-06,0.022120208231781527,0.0,0.0,0.022111891243919907,4.056507467628418,0.005450967715547514,sanity check only; not physical
wall_60to30_10,13,fluid_all,legacy_hundredth,689208,30.211825382227214,0.004170356752009889,276.4762181374774,0.9463490763906107,0.7665617624149534,0.08895795471979154,68.11010590694592,0.0,223.95129062693564,282.32828807297426,8.358087817285956e-06,0.02214592340307383,0.0,0.14492372866457026,0.16631832601394006,30.211825382227214,0.005505073722284272,diagnostic magnitude sweep
wall_60to30_10,13,fluid_all,legacy_tenth,689208,267.1232009232627,0.03813933708261271,2152.9893334417006,0.932954095358557,0.9704473241269387,0.08895795471979154,68.11010590694592,0.0,2239.512906269356,2296.1966336100445,8.358087817285956e-06,0.02214592340307383,0.0,1.4492372866457026,1.470532914015115,267.1232009232627,0.005505073722284272,diagnostic magnitude sweep
wall_60to30_10,13,fluid_all,negative_legacy,689208,2628.682533145044,0.37613447081617296,20782.170964721507,0.9251599249958729,0.9969639822079149,0.08895795471979154,68.11010590694592,0.0,22395.12906269355,22338.551012194897,8.358087817285956e-06,0.02214592340307383,0.0,14.492372866457027,14.47109113744444,2628.682533145044,0.005505073722284272,sign check
wall_60to30_10,13,fluid_all,legacy,689208,2636.4146763472304,0.377073746627218,20918.120486482996,0.9312119899880045,0.9969639822079149,0.08895795471979154,68.11010590694592,0.0,22395.12906269355,22451.760696959336,8.358087817285956e-06,0.02214592340307383,0.0,14.492372866457027,14.513657155803733,2636.4146763472304,0.005505073722284272,current active scale
wall_60to30_10,13,fluid_all,no_density_diff,689208,2649.643561480394,0.3789662187059877,21022.895088119076,0.9312109956912744,0.9969791164395941,0.08895795471979154,68.11010590694592,0.0,22507.667399692018,22564.298989782805,8.358087817285956e-06,0.02214592340307383,0.0,14.565198860760832,14.58648314372543,2649.643561480394,0.005505073722284272,remove density-difference multiplier
wall_60to30_10,13,fluid_all,bgk_style,689208,3286.8195795640872,0.4702850085457523,25994.70739612168,0.9263276009106043,0.997569710085648,0.08895795471979154,68.11010590694592,0.0,27993.91132836696,27937.3311319764,8.358087817285956e-06,0.02214592340307383,0.0,18.115466083071283,18.094184097347696,3286.8195795640872,0.005505073722284272,opposite sign of B40FmuBGKScale
wall_60to30_10,13,fluid_all,bgk_legacy_sign,689208,3294.5517230121577,0.47122428533240346,26130.656917884535,0.9311721945588605,0.997569710085648,0.08895795471979154,68.11010590694592,0.0,27993.91132836696,28050.54104877103,8.358087817285956e-06,0.02214592340307383,0.0,18.115466083071283,18.136750117060604,3294.5517230121577,0.005505073722284272,B40FmuBGKScale
wall_60to30_10,13,interface_wide,zero,11708,0.00032199370721776386,0.000257090821212103,0.012269786480284912,0.3297524220584351,0.0,0.032622262279193966,0.004586824476537566,0.0,0.0,0.03163455632337721,2.2379881291135992e-05,4.4770545525941345e-06,0.0,0.0,1.790282673854186e-05,0.00032199370721776386,0.0555999273812957,sanity check only; not physical
wall_60to30_10,13,interface_wide,legacy_hundredth,11708,0.00036342491859533114,0.00026254756565497725,0.01250984951217768,0.332997508576089,0.009537790683363825,0.032622262279193966,0.004586824476537566,0.0,0.00035830996645510433,0.03181966886219034,2.2379881291135995e-05,4.4770545525941345e-06,0.0,3.5111503371668537e-06,2.020639908245372e-05,0.00036342491859533114,0.05559992738129571,diagnostic magnitude sweep
