mode,step,failures,PhaseField_max_abs,PhaseField_min,PhaseField_max,PhaseField_nonfinite,ReplayPhaseFromH_max_abs,ReplayPhaseFromH_min,ReplayPhaseFromH_max,ReplayPhaseFromH_nonfinite,ReplayPhaseConsumed_max_abs,ReplayPhaseConsumed_min,ReplayPhaseConsumed_max,ReplayPhaseConsumed_nonfinite,WallGhost_max_abs,WallGhost_min,WallGhost_max,WallGhost_nonfinite,ReplayFtotal_max_abs,ReplayFtotal_min,ReplayFtotal_max,ReplayFtotal_nonfinite,ReplayForceOverRho_max_abs,ReplayForceOverRho_min,ReplayForceOverRho_max,ReplayForceOverRho_nonfinite,ReplayUPostForce_max_abs,ReplayUPostForce_min,ReplayUPostForce_max,ReplayUPostForce_nonfinite,ReplayPhaseAdvVelocity_max_abs,ReplayPhaseAdvVelocity_min,ReplayPhaseAdvVelocity_max,ReplayPhaseAdvVelocity_nonfinite,ReplayFmu_max_abs,ReplayFmu_min,ReplayFmu_max,ReplayFmu_nonfinite,ReplayFpressure_max_abs,ReplayFpressure_min,ReplayFpressure_max,ReplayFpressure_nonfinite,ReplayFsurf_max_abs,ReplayFsurf_min,ReplayFsurf_max,ReplayFsurf_nonfinite,ReplayRho_max_abs,ReplayRho_min,ReplayRho_max,ReplayRho_nonfinite,ReplayPressureMoment_max_abs,ReplayPressureMoment_min,ReplayPressureMoment_max,ReplayPressureMoment_nonfinite,ReplayMu_max_abs,ReplayMu_min,ReplayMu_max,ReplayMu_nonfinite,ReplayGradPhi_max_abs,ReplayGradPhi_min,ReplayGradPhi_max,ReplayGradPhi_nonfinite,ReplayFphiMaxAbs_max_abs,ReplayFphiMaxAbs_min,ReplayFphiMaxAbs_max,ReplayFphiMaxAbs_nonfinite,PhaseStencilGhostUseCount_max_abs,PhaseStencilGhostUseCount_min,PhaseStencilGhostUseCount_max,PhaseStencilGhostUseCount_nonfinite,PhaseStencilFallbackCount_max_abs,PhaseStencilFallbackCount_min,PhaseStencilFallbackCount_max,PhaseStencilFallbackCount_nonfinite,PhaseStencilMidpointFallbackCount_max_abs,PhaseStencilMidpointFallbackCount_min,PhaseStencilMidpointFallbackCount_max,PhaseStencilMidpointFallbackCount_nonfinite
0,0,,0.9999999810930902,0.0,0.9999999810930902,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0,1,,0.9999999717996106,0.0,0.9999999717996106,0,0.9999999717996106,0.0,0.9999999717996106,0,0.9999999810930902,0.0,0.9999999810930902,0,1.0,0.0,1.0,0,2.9033551827076453e-05,-1.5199368613878571e-05,2.9033551827076453e-05,0,0.012917448697613456,-0.0013341079257488551,0.012917448697613456,0,0.006458724348806728,-0.0006670539628744276,0.006458724348806728,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.9033551827076453e-05,-1.5199368613878571e-05,2.9033551827076453e-05,0,0.9999999811119971,0.0,0.9999999811119971,0,0.0,0.0,0.0,0,9.717740691643747e-05,-9.717740691643747e-05,1.0276979088735786e-05,0,0.33102749827388434,-0.33102749827388434,0.23185528073950343,0,0.02440638872501261,0.0,0.02440638872501261,0,61.0,0.0,61.0,0,153.0,0.0,153.0,0,0.0,0.0,0.0,0
0,2,,0.999999968229641,0.0,0.999999968229641,0,0.999999968229641,0.0,0.999999968229641,0,0.9999999717996106,0.0,0.9999999717996106,0,1.0,0.0,1.0,0,2.9756352492263247e-05,-1.1657104293066754e-05,2.9756352492263247e-05,0,0.029756352492263247,-0.0033684717585096254,0.029756352492263247,0,0.014878176246131624,-0.0017542705687056258,0.014878176246131624,0,0.004686426950477376,-0.000728169687331055,0.004686426950477376,0,1.572037147578506e-05,-1.572037147578506e-05,1.427654982250691e-06,0,3.740223375151014e-05,-3.4347995586880567e-06,3.740223375151014e-05,0,2.8529284469719283e-05,-1.4501903869214359e-05,2.8529284469719283e-05,0,0.9999999718278111,0.0,0.9999999718278111,0,0.004686426950477376,-3.252351716982543e-05,0.004686426950477376,0,9.456849443381898e-05,-9.456849443381898e-05,1.5133848871055722e-05,0,0.3316901121163855,-0.3316901121163855,0.22744274089960367,0,0.024413379610556687,0.0,0.024413379610556687,0,61.0,0.0,61.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0,3,,0.9999999661570658,-5.386224814665208e-06,0.9999999661570658,0,0.9999999661570658,-5.386224814665208e-06,0.9999999661570658,0,0.999999968229641,0.0,0.999999968229641,0,1.0,0.0,1.0,0,0.0005217009174754794,-0.0005217009174754794,1.4473386161744061e-05,0,0.41767390415437833,-0.41767390415437833,0.009474959967867316,0,0.21130129207817067,-0.21130129207817067,0.009879702587296486,0,0.009967600427016303,-0.006795478864581527,0.009967600427016303,0,0.00018872598077871233,-0.00018872598077871233,6.100758861518898e-05,0,0.00035053167812703414,-0.00035053167812703414,5.5898920520072296e-05,0,2.7993776719164912e-05,-1.32454402144517e-05,2.7993776719164912e-05,0,0.9999999682614114,0.0,0.9999999682614114,0,0.012132541207689402,-0.007730339638276107,0.012132541207689402,0,9.205589337186006e-05,-9.205589337186006e-05,1.588469263778321e-05,0,0.33983322264530147,-0.33983322264530147,0.2273029078847425,0,0.024415076725923864,0.0,0.024415076725923864,0,61.0,0.0,61.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0,4,,0.9999999647363015,0.0,0.9999999647363015,0,0.9999999647363015,0.0,0.9999999647363015,0,0.9999999661570658,-5.386224814665208e-06,0.9999999661570658,0,1.0,0.0,1.0,0,0.0040931333366922475,-0.0040931333366922475,0.00020216585559478727,0,4.093133336692246,-4.093133336692246,0.1918434801961702,0,2.049510787523535,-2.049510787523535,0.10662188313583741,0,0.1836885579915083,-0.1836885579915083,0.027818047423237686,0,0.0013190890552552345,-0.0013190890552552345,0.00010939509807540638,0,0.0028564024210630773,-0.0028564024210630773,0.0002965633416365402,0,2.7769473413923367e-05,-1.2863627879516668e-05,2.7769473413923367e-05,0,0.9999999661909087,0.0,0.9999999661909087,0,0.18109843010081866,-0.18109843010081866,0.005597356060235839,0,9.092340164506462e-05,-9.092340164506462e-05,1.5425083363730922e-05,0,0.34174112610275575,-0.34174112610275575,0.226281780618729,0,0.02441584212672781,0.0,0.02441584212672781,0,61.0,0.0,61.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0,5,,0.9999999627031,-2.73203712529805e-07,0.9999999627031,0,0.9999999627031,-2.73203712529805e-07,0.9999999627031,0,0.9999999647363015,0.0,0.9999999647363015,0,1.0,0.0,1.0,0,0.30807304540978275,-0.30807304540978275,0.017378603784800606,0,302.67021520816473,-302.67021520816473,15.48364909056061,0,151.1885073331595,-151.1885073331595,8.315795978174458,0,0.5747660747165017,-0.5747660747164999,0.5747660747165017,0,0.11204201244490083,-0.11204201244490083,0.007464654399502607,0,0.19896080994530432,-0.19896080994530432,0.009915101439202734,0,2.7481679890802742e-05,-1.2365996472481125e-05,2.7481679890802742e-05,0,0.9999999647715652,0.0,0.9999999647715652,0,4.459213306550734,-4.459213306550734,0.1724166048527262,0,8.976709538535124e-05,-8.976709538535124e-05,1.5611760373168272e-05,0,0.3447195987605846,-0.3447195987605846,0.2257073369188326,0,0.02441603698945088,0.0,0.02441603698945088,0,61.0,0.0,61.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0,6,,6086.573938686867,-6086.573938686867,3752.2340476124564,0,6086.573938686867,-6086.573938686867,3752.2340476124564,0,0.9999999627031,-2.73203712529805e-07,0.9999999627031,0,1.0,0.0,1.0,0,1820.4350505925636,-1820.4350505925636,29.18135959148795,0,1817300.0183917556,-1817300.0183917556,26342.757117496778,0,908645.5552193611,-908645.5552193611,14251.196334165947,0,13091.779108517661,-3762.6929121483595,13091.779108517661,0,694.8281845776366,-694.8281845776366,15.179980746482071,0,1180.372779008245,-1180.372779008245,14.00137999678602,0,2.727755984995977e-05,-1.2007559392909138e-05,2.727755984995977e-05,0,0.9999999627403969,0.0,0.9999999627403969,0,26452.720766338796,-26452.720766338796,13091.885058223208,0,8.893779852202463e-05,-8.893779852202463e-05,1.5600966406179012e-05,0,0.3467582302613093,-0.3467582302613093,0.2252826585737606,0,0.024415958239331063,0.0,0.024415958239331063,0,61.0,0.0,61.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1,0,,0.9999999810930902,0.0,0.9999999810930902,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1,1,,0.9999999717996106,0.0,0.9999999717996106,0,0.9999999717996106,0.0,0.9999999717996106,0,0.9999999810930902,0.0,0.9999999810930902,0,1.0,0.0,1.0,0,2.9033551827076453e-05,-1.5199368613878571e-05,2.9033551827076453e-05,0,0.012917448697613456,-0.0013341079257488551,0.012917448697613456,0,0.006458724348806728,-0.0006670539628744276,0.006458724348806728,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.9033551827076453e-05,-1.5199368613878571e-05,2.9033551827076453e-05,0,0.9999999811119971,0.0,0.9999999811119971,0,0.0,0.0,0.0,0,9.717740691643747e-05,-9.717740691643747e-05,1.0276979088735786e-05,0,0.33102749827388434,-0.33102749827388434,0.23185528073950343,0,0.02440638872501261,0.0,0.02440638872501261,0,61.0,0.0,61.0,0,153.0,0.0,153.0,0,0.0,0.0,0.0,0
1,2,,0.999999968229641,0.0,0.999999968229641,0,0.999999968229641,0.0,0.999999968229641,0,0.9999999717996106,0.0,0.9999999717996106,0,1.0,0.0,1.0,0,4.547672396804831e-05,-1.2858297432390018e-05,4.547672396804831e-05,0,0.045476723968048305,-0.0035717485244324072,0.045476723968048305,0,0.022738361984024152,-0.0018559089516670168,0.022738361984024152,0,0.004686426950477376,-0.000728169687331055,0.004686426950477376,0,1.572037147578506e-05,-1.572037147578506e-05,1.427654982250691e-06,0,3.740223375151014e-05,-3.4347995586880567e-06,3.740223375151014e-05,0,2.8529284469719283e-05,-1.4501903869214359e-05,2.8529284469719283e-05,0,0.9999999718278111,0.0,0.9999999718278111,0,0.004686426950477376,-3.252351716982543e-05,0.004686426950477376,0,9.456849443381898e-05,-9.456849443381898e-05,1.5133848871055722e-05,0,0.3316901121163855,-0.3316901121163855,0.22744274089960367,0,0.024413379610556687,0.0,0.024413379610556687,0,61.0,0.0,61.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
