modetroottrctstarttendtremaining_vti
0t/mnt/usb1t/RUNS/runs/stage14_s2_momentum_force_probe_20260623_vti_rerun/mode_0t0t2026-06-23T16:04:04+08:00t2026-06-23T16:06:20+08:00t7
1t/mnt/usb1t/RUNS/runs/stage14_s2_momentum_force_probe_20260623_vti_rerun/mode_1t0t2026-06-23T16:06:20+08:00t2026-06-23T16:08:36+08:00t7
2t/mnt/usb1t/RUNS/runs/stage14_s2_momentum_force_probe_20260623_vti_rerun/mode_2t0t2026-06-23T16:08:36+08:00t2026-06-23T16:10:52+08:00t7
