step,nonfinite_total,max_mach,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,ratio_cap_selected_count,ratio_cap_selected_fraction,abs_cap_selected_count,abs_cap_selected_fraction,ratio_cap_limiter_count,ratio_cap_limiter_fraction_of_normal_limiter,abs_cap_limiter_count,abs_cap_limiter_fraction_of_normal_limiter,sphere11_active_count,sphere11_limiter_count,sphere11_normal_limiter_count,outer90_active_count,outer90_limiter_count,outer90_normal_limiter_count,fallback_angle_active_count,fallback_angle_limiter_count,fallback_angle_normal_limiter_count,raw_delta_p50,raw_delta_p95,raw_delta_p99,raw_delta_max,limited_delta_p99,dn_try_p50,dn_try_p95,effective_cap_p50,effective_cap_p95,ratio_cap_p50,ratio_cap_p95,abs_cap_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,normal_raw_abs_p50,normal_raw_abs_p95,target_normal_abs_p50,target_minus_raw_abs_p50,smooth_weight_c_p50,smooth_weight_g_p50,smooth_weight_t_p50,smooth_weight_total_p50,tan_coeff_times_tangent_p50,limiter_ratio_p05,limiter_ratio_p10,limiter_ratio_p50,limiter_ratio_p95,normal_delta_raw_p99,tangent_mag_p95,tangent_mag_p99,phase_c_p50,normal_agreement_p05,tan_coeff_p50,wall_profile_conflict_p50
0,0,0.0,7536,0,0.0,0,0.0,5048,0.6698513800424628,2488,0.33014861995753714,0,nan,0,nan,0,0,0,0,0,0,7536,0,0,0.004755155794591384,0.025528708330829087,0.025855419413219265,0.02592438009843123,0.025855419413219265,-0.004755155794591384,-6.688872887102906e-06,0.03066540214075926,0.05,0.03066540214075926,0.07622757050216729,0.05,0.15946985196036922,0.8018560086868395,0.8391477291620512,0.06133080428151852,0.15245514100433458,0.07412757984172359,0.008229533648740338,1.0,1.0,1.0,1.0,0.07412757984172359,1.0,1.0,1.0,1.0,1.0457756519310092e-05,0.07784625316183974,0.0786325814637617,0.472746472714162,1.0,2.144506910460094,0.0
100,0,1.1687002064679345e-05,7476,0,0.0,0,0.0,4956,0.6629213483146067,2520,0.33707865168539325,0,nan,0,nan,0,0,0,0,0,0,7476,0,0,0.006111007261614074,0.023596683238694835,0.023881332495946865,0.023954236196501274,0.023881332495946865,-0.006111007261614074,-1.621956437104223e-05,0.03204819950978771,0.05,0.03204819950978771,0.07475479922735279,0.05,0.19629283362569078,0.6858605925854071,0.7214260367496387,0.06409639901957542,0.14950959845470557,0.07532294753861844,0.00850063717532503,1.0,1.0,1.0,1.0,0.07532294753861844,1.0,1.0,1.0,1.0,-0.0002033226441171313,0.07724670990654234,0.0779022069815854,0.45820671543384833,1.0,2.144506910460094,0.0
200,0,5.39282438891159e-06,7500,0,0.0,0,0.0,4964,0.6618666666666667,2536,0.33813333333333334,0,nan,0,nan,0,0,0,0,0,0,7500,0,0,0.00601581501378242,0.022505330441319145,0.022804630713230196,0.022869488189234344,0.022804630713230196,-0.00601581501378242,-1.5225450499663218e-05,0.03211283441046521,0.05,0.03211283441046521,0.07482980836333586,0.05,0.1898004918884694,0.6718027657915143,0.7148448045314916,0.06422566882093042,0.14965961672667172,0.07543978866887277,0.00842236358955782,1.0,1.0,1.0,1.0,0.07543978866887277,1.0,1.0,1.0,1.0,-0.00017547960315657672,0.07690885700435042,0.07757750296458106,0.45800374432396934,1.0,2.144506910460094,0.0
300,0,5.906730505506053e-06,7500,0,0.0,0,0.0,4956,0.6608,2544,0.3392,0,nan,0,nan,0,0,0,0,0,0,7500,0,0,0.005996803587700701,0.02168782128845835,0.021927850601687584,0.021976133857002398,0.021927850601687584,-0.005996803587700701,-1.7223995941541376e-05,0.03213795683615811,0.05,0.03213795683615811,0.0748889703135576,0.05,0.18535712408965901,0.6547567032467224,0.7044202692159753,0.06427591367231622,0.1497779406271152,0.07563906807768851,0.008358761707082772,1.0,1.0,1.0,1.0,0.07563906807768851,1.0,1.0,1.0,1.0,-0.00016626442800073455,0.07670561991758781,0.07734128146289204,0.4577331129910169,1.0,2.144506910460094,0.0
400,0,5.291268020396332e-06,7508,0,0.0,0,0.0,4964,0.6611614278103356,2544,0.33883857218966434,0,nan,0,nan,0,0,0,0,0,0,7508,0,0,0.005949996590632656,0.020929125887669205,0.021235533585247164,0.02130101640805114,0.021235533585247164,-0.005949996590632656,-1.9105855406608625e-05,0.0321618300828822,0.05,0.0321618300828822,0.07494336449320381,0.05,0.18082168567507814,0.6399603598952233,0.687452905510414,0.0643236601657644,0.14988672898640762,0.07568250927939846,0.008152112256186074,1.0,1.0,1.0,1.0,0.07568250927939846,1.0,1.0,1.0,1.0,-0.00016353025052863828,0.07647674586859177,0.07713562483825961,0.455906769195656,1.0,2.144506910460094,0.0
500,0,5.242325508442398e-06,7524,0,0.0,0,0.0,4972,0.6608187134502924,2552,0.3391812865497076,0,nan,0,nan,0,0,0,0,0,0,7524,0,0,0.00587681297832276,0.020251612783719897,0.020662685496286096,0.020738683192819067,0.020662685496286096,-0.00587681297832276,-2.0068795320120113e-05,0.032188229111377045,0.05,0.032188229111377045,0.07499506369322005,0.05,0.1828438121752945,0.6290685165319242,0.6723498259380656,0.06437645822275409,0.1499901273864401,0.07535656214813523,0.008021852644110662,1.0,1.0,1.0,1.0,0.07535656214813523,1.0,1.0,1.0,1.0,-0.00016239118583254996,0.07630951336622376,0.07692891158655481,0.4541472776511125,1.0,2.144506910460094,0.0
600,0,5.1875213244249596e-06,7552,0,0.0,0,0.0,4992,0.6610169491525424,2560,0.3389830508474576,0,nan,0,nan,0,0,0,0,0,0,7552,0,0,0.005827444365777234,0.01963143268484756,0.02011139067403683,0.020219558036034396,0.02011139067403683,-0.005827444365777234,-1.7992923161077533e-05,0.03218823380895889,0.05,0.03218823380895889,0.07504462764584878,0.05,0.17498480972249777,0.6133272698025845,0.6558719647557328,0.06437646761791778,0.15008925529169756,0.07510851584820777,0.007839831518558563,1.0,1.0,1.0,1.0,0.07510851584820777,1.0,1.0,1.0,1.0,-0.00016237665299335415,0.07607882612136947,0.07672754530725018,0.45007505165283596,1.0,2.144506910460094,0.0
700,0,5.1455212518663345e-06,7576,0,0.0,0,0.0,5016,0.662090813093981,2560,0.337909186906019,0,nan,0,nan,0,0,0,0,0,0,7576,0,0,0.00567917245078695,0.01905179622997602,0.019573710780041234,0.019700453693599507,0.019573710780041234,-0.00567917245078695,-1.7786387637251974e-05,0.032202941427390296,0.05,0.032202941427390296,0.0750885944462508,0.05,0.16840774504782763,0.5988827594713205,0.6384080589359942,0.06440588285478059,0.1501771888925016,0.07481120766611254,0.007621110475950099,1.0,1.0,1.0,1.0,0.07481120766611254,1.0,1.0,1.0,1.0,-0.00016335283112165356,0.075872117309281,0.07652606478135457,0.4460725663763382,1.0,2.144506910460094,0.0
800,0,5.107979485287616e-06,7600,0,0.0,0,0.0,5032,0.6621052631578948,2568,0.33789473684210525,0,nan,0,nan,0,0,0,0,0,0,7600,0,0,0.005565268539033153,0.018467632669416225,0.01904172083894542,0.019185764415729008,0.01904172083894542,-0.005565268539033153,-1.6383462832202216e-05,0.03210878313594123,0.05,0.03210878313594123,0.07513033670695685,0.05,0.16695964701828914,0.5836068420550905,0.6169167084111995,0.06421756627188246,0.1502606734139137,0.07466318860764407,0.0074183956809713986,1.0,1.0,1.0,1.0,0.07466318860764407,1.0,1.0,1.0,1.0,-0.00016511821381885898,0.07565866507793108,0.07632710967858797,0.4459486699500012,1.0,2.144506910460094,0.0
900,0,5.071554388819309e-06,7624,0,0.0,0,0.0,5056,0.6631689401888772,2568,0.33683105981112277,0,nan,0,nan,0,0,0,0,0,0,7624,0,0,0.005466805151434321,0.017939955690663353,0.01853797082302143,0.01867903709264271,0.01853797082302143,-0.005466805151434321,-1.5151795165990815e-05,0.03190039221154959,0.05,0.03190039221154959,0.07517037747750516,0.05,0.1592016450934688,0.5669624554212181,0.6004288034067029,0.06380078442309918,0.15034075495501031,0.0744915568070737,0.007204322309349587,1.0,1.0,1.0,1.0,0.0744915568070737,1.0,1.0,1.0,1.0,-0.00016178692003243581,0.07548225537647493,0.0761416136383053,0.43660293123979743,1.0,2.144506910460094,0.0
