case_id,step,init_theta_deg,wall_rad_angle_deg,angle_apparent_deg,angle_error_vs_init_deg,angle_error_vs_wall_rad_deg,fit_point_count,phase_fluid_sum,phase_fluid_rel_change,rho_fluid_sum,rho_fluid_rel_change,phase_fluid_min,phase_fluid_max,wall_phase_pred_min,wall_phase_pred_max,wall_phase_raw_min,wall_phase_raw_max,wall_phase_profile_max,wall_phase_signed_profile_max,wall_phase_signed_min,wall_phase_signed_max,wall_signed_logit_shift_max,wall_contact_residual_mean,wall_contact_residual_min,wall_contact_residual_max,wall_signed_normal_grad_mean,wall_tangent_grad_mag_mean,wall_signed_delta_q_min,wall_signed_delta_q_max,wall_signed_q_clipped_sum,wall_stage7_active_weight_sum,wall_stage7_active_weight_mean,wall_stage7_delta_q_raw_p50,wall_stage7_delta_q_raw_p99,wall_stage7_delta_q_raw_max,wall_stage7_delta_q_limited_p50,wall_stage7_delta_q_limited_p99,wall_stage7_delta_q_limited_max,wall_stage7_denom_min,wall_stage7_denom_p50,wall_stage7_limiter_reason_sum,wall_stage7_limiter_reason_max,wall_stage7_normal_path_count,wall_stage7_normal_limiter_count,wall_stage7_active_path_count,wall_stage7_active_limiter_count,wall_stage7_actual_cos_p50,wall_stage7_target_cos_p50,wall_stage7_write_candidate_min,wall_stage7_write_candidate_max,wall_stage7_write_minus_profile_min,wall_stage7_write_minus_profile_max,wall_stage8_active_weight_sum,wall_stage8_active_weight_mean,wall_stage8_normal_grad_raw_p50,wall_stage8_normal_grad_target_p50,wall_stage8_contact_residual_mean,wall_stage8_contact_residual_p50,wall_stage8_contact_residual_p99,wall_stage8_tangent_grad_mag_p50,wall_stage8_target_cos_p50,wall_stage8_grad_write_delta_mag_p50,wall_stage8_grad_write_delta_mag_max,wall_stage8_limiter_reason_sum,wall_stage8_limiter_reason_max,max_mach,nonfinite_total,path_counts
cap_theta030_wall011_mode2,0,30.0,11.0,29.397304912728284,-0.6026950872717158,18.397304912728284,130,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,7536.0,0.005049774046734533,0.0,0.0,0.009656039570761424,0.0,0.1358078973777883,0.0,0.0,0.0,0.25403260714065506,4430272.0,28.0,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011_mode2,5000,30.0,11.0,29.557325593826786,-0.4426744061732144,18.557325593826786,130,52482.889281978314,-0.0021020841308414945,53922.75039269632,-0.0020440266237761857,8.795003510447099e-10,0.9997657202199527,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,9068.0,0.0060763470084645365,0.0,0.0,0.007008850425114882,0.0,0.07033202373980625,0.0,0.0,0.0,0.1822031361572859,4407920.0,28.0,1.19611857405978e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011_mode2,10000,30.0,11.0,29.588285710141886,-0.4117142898581143,18.588285710141886,130,52456.61980451449,-0.0026015660985982017,53896.507184710026,-0.0025297133882632955,4.350852317399906e-09,0.999765867429304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,9752.0,0.006534686372578977,0.0,0.0,0.006990578900277467,0.0,0.058018205283207995,0.0,0.0,0.0,0.1566947895470559,4392320.0,28.0,1.3455480551116558e-05,0,"{""2"": 64136, ""5"": 16384}"
