case,status,theta_deg,init_contact_angle_deg,phase_advection_mode,wetting_ghost_distance,wetting_ghost_sign,measured_mean_deg,target_error_deg,mass_drift,mass_correction_delta,phase_wall_delta_mass,u_max,force_over_rho_max,near_wall_interface_cells,near_wall_force_over_rho_max,near_wall_mu_abs_max,wall_ghost_min,wall_ghost_max,wall_ghost_clamp_low_cells,wall_ghost_clamp_high_cells,nonfinite_count
init120_target150_100,pass,150.0,120.0,1,1.0,-1.0,164.32228053138718,14.322280531387179,-1.4551915228366852e-10,0.0,-15.978802850805355,0.0009945712303397528,0.0013576284598780675,528,0.0013576284598780675,0.00246783793631161,1.0069257994346583e-17,0.5403080600187553,4062,0,0
init60_target30_100,pass,30.0,60.0,1,1.0,-1.0,45.897572288315,15.897572288314997,-1.5006662579253316e-11,0.0,55.851798787498105,0.0009456530298136534,0.0014520230412926034,1931,0.0014520230412926034,0.0038399478476393435,8.32297131558883e-14,0.9998513348009566,123,0,0
