case,target_theta_deg,init_contact_angle_deg,theta_bbox_raw_mean_deg,theta_calibrated_bbox_deg,target_error_calibrated_deg,calibration_outside_range,radius_used_for_calibration,width_used_for_calibration,z_indices
init120_target150_100,150.0,120.0,109.81000500024841,114.90691433250845,-35.09308566749155,False,18.0,4.0,47 48 49
init60_target30_100,30.0,60.0,24.022956772730883,35.72744179943681,5.727441799436811,False,18.0,4.0,47 48 49
