step,stage8g_mode,nonfinite_total,max_mach,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,ratio_cap_selected_count,ratio_cap_selected_fraction,abs_cap_selected_count,abs_cap_selected_fraction,ratio_cap_limiter_count,ratio_cap_limiter_fraction_of_normal_limiter,abs_cap_limiter_count,abs_cap_limiter_fraction_of_normal_limiter,raw_normal_scale_limiter_count,target_scale_limiter_count,tangent_scale_limiter_count,floor_scale_limiter_count,sphere11_active_count,sphere11_limiter_count,sphere11_normal_limiter_count,outer90_active_count,outer90_limiter_count,outer90_normal_limiter_count,fallback_angle_active_count,fallback_angle_limiter_count,fallback_angle_normal_limiter_count,raw_delta_p50,raw_delta_p95,raw_delta_p99,raw_delta_max,limited_delta_p99,dn_try_p50,dn_try_p95,effective_cap_p50,effective_cap_p95,ratio_cap_p50,ratio_cap_p95,abs_cap_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,normal_raw_abs_p50,normal_raw_abs_p95,target_normal_abs_p50,target_minus_raw_abs_p50,smooth_weight_c_p50,smooth_weight_g_p50,smooth_weight_t_p50,smooth_weight_total_p50,tan_coeff_times_tangent_p50,limiter_ratio_p05,limiter_ratio_p10,limiter_ratio_p50,limiter_ratio_p95,normal_delta_raw_p99,tangent_mag_p95,tangent_mag_p99,phase_c_p50,normal_agreement_p05,tan_coeff_p50,wall_profile_conflict_p50,stage8g_effective_scale_p50,stage8g_tan_raw_p50,stage8g_tan_eff_p50,stage8g_regularization_ratio_p50,stage8g_profile_target_mismatch_p50,stage8g_profile_conflict_sign_p50,stage8g_write_allowed_flag_max
0,1,0,0.0,5196,0,0.0,3876,0.745958429561201,2860,0.550423402617398,2336,0.44957659738260203,1564,0.40350877192982454,2312,0.5964912280701754,384,1180,0,0,5196,0,3876,0,0,0,0,0,0,0.09746726150847551,0.3396364658043522,0.5029118575019015,0.6239620462516936,0.05,-0.09746726150847551,-2.531965533608694e-05,0.04154013594185633,0.05,0.04154013594185633,0.11765737669426607,0.05,2.4687711093941695,6.792729316087043,10.058237150038028,0.05476341861089737,0.14296369099323192,0.15829126597952564,0.10035613823535042,1.0,1.0,1.0,1.0,0.15829126597952564,0.14721622980496604,0.1608733171464584,0.40505982761820214,1.0,0.015840193982952496,0.09148110989330609,0.11272870064922934,0.38262808112072644,0.980461964712138,5.144553966670899,1.0,0.08308027188371266,5.144553966670899,5.144553966670899,1.0,734.9025882451831,1.0,0.0
100,1,0,3.513096681621715e-05,5176,0,0.0,3840,0.7418856259659969,2824,0.5455950540958269,2352,0.45440494590417313,1512,0.39375,2328,0.60625,460,1052,0,0,5176,0,3840,0,0,0,0,0,0,0.09387192675446115,0.3347347574485041,0.4848402710123968,0.6085144409486464,0.05,-0.09387192675446115,-2.1646622837624014e-05,0.04158355214971864,0.05,0.04158355214971864,0.1147039662804579,0.05,2.3673358836258345,6.694695148970082,9.696805420247935,0.058101137726957616,0.1442317703350645,0.1582548911493453,0.0969562140617886,1.0,1.0,1.0,1.0,0.1582548911493453,0.14937199943358748,0.16681257520538506,0.4224157657207436,1.0,0.012363751398030245,0.08918477055431429,0.11253334258191731,0.37964727415613037,0.980461964712138,5.144553966670899,0.0,0.08316710429943729,5.144553966670899,5.144553966670899,1.0,0.0953546923266114,1.0,0.0
1000,1,0,1.892877581620868e-05,5460,0,0.0,3904,0.715018315018315,3048,0.5582417582417583,2412,0.44175824175824174,1532,0.39241803278688525,2372,0.6075819672131147,576,956,0,0,5460,0,3904,0,0,0,0,0,0,0.08028308316827266,0.3331200964679359,0.4794265072846032,0.6064665873481173,0.05,-0.08028308316827266,-9.395433909175831e-06,0.04060260677635934,0.05,0.04060260677635934,0.10702370942369367,0.05,2.1195466735406545,6.662401929358717,9.588530145692063,0.06017788218074154,0.14685006438324216,0.15183552803259154,0.08609959132077992,1.0,1.0,1.0,1.0,0.15183552803259154,0.1500960180131693,0.18234933170462825,0.47179899951413795,1.0,0.01822536151830863,0.08321320768879015,0.10988401703724023,0.346550537230218,0.9807781624461321,5.144553966670899,0.0,0.08120521355271867,5.144553966670899,5.144553966670899,1.0,0.08362266622604204,1.0,0.0
