step,group,bin,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,stage8h_limiter_equivalent_count,stage8h_limiter_equivalent_fraction,ratio_cap_selected_count,ratio_cap_selected_fraction,abs_cap_selected_count,abs_cap_selected_fraction,raw_delta_p95,raw_delta_p99,limiter_ratio_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,stage8h_candidate_demand_p50,stage8h_candidate_demand_p95,stage8h_candidate_demand_p99,normal_raw_abs_p50,normal_raw_abs_p95
0,region,none_or_unknown,0,0,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,region,sphere_upper,2160,0,0.0,1748,0.8092592592592592,0,0.0,1360,0.6296296296296297,800,0.37037037037037035,0.2179476707447395,0.3217434401288232,0.4603522542409325,2.172249599708997,4.35895341489479,6.434868802576464,2.4030155606877564e-05,6.801111491555393e-05,0.00012416364193145731,0.04516725675831619,0.13494237284043664
0,region,sphere_lower90,2688,0,0.0,1072,0.39880952380952384,0,0.0,1656,0.6160714285714286,1032,0.38392857142857145,0.14370329540744603,0.16359348677809968,1.0,0.6897726202356205,2.8740659081489204,3.2718697355619932,8.990825915745819e-06,3.3484988215287656e-05,4.252498537394895e-05,0.0726165629423256,0.14706644434833013
0,region,sphere_bottom120,348,0,0.0,0,0.0,0,0.0,348,1.0,0,0.0,0.0004968026864739071,0.001861883741382399,1.0,0.002377716867720812,0.047984270845516375,0.18401752726843432,5.6139667916408534e-08,1.07011693078493e-06,2.2642939612017235e-06,0.015481800270841763,0.020900720489524554
0,region,outer_or_other_wall,0,0,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,theta_zone,sphere11,5196,0,0.0,2820,0.5427251732101617,0,0.0,3364,0.6474210931485759,1832,0.3525789068514242,0.17359067014408716,0.27972433710446015,0.8435225044235737,1.1855048261970866,3.471813402881743,5.594486742089202,1.4248583297033026e-05,5.217279270665223e-05,8.962740268693501e-05,0.05476341861089737,0.14296369099323192
0,theta_zone,outer90,0,0,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,theta_zone,fallback,0,0,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_bin,c_0_0p05,816,0,0.0,0,0.0,0,0.0,816,1.0,0,0.0,0.006454432186744657,0.009345129164059817,1.0,0.020571409948835745,0.4720928096771956,0.6893687765004145,3.21697945497816e-07,6.017808599223985e-06,8.888730409720286e-06,0.019160410997353442,0.027343912275037716
0,c_bin,c_0p05_0p10,564,0,0.0,96,0.1702127659574468,0,0.0,564,1.0,0,0.0,0.02628399351060155,0.04398664403399694,1.0,0.4834914445663641,1.2938176373653165,2.237744681213855,6.239365521264713e-06,1.5955369683902653e-05,2.507919048323335e-05,0.0412969600375756,0.05345663903924774
