case_id,step,init_theta_deg,wall_rad_angle_deg,angle_apparent_deg,angle_error_vs_init_deg,angle_error_vs_wall_rad_deg,fit_point_count,phase_fluid_sum,phase_fluid_rel_change,rho_fluid_sum,rho_fluid_rel_change,phase_fluid_min,phase_fluid_max,wall_phase_pred_min,wall_phase_pred_max,wall_phase_raw_min,wall_phase_raw_max,wall_phase_profile_max,wall_phase_signed_profile_max,wall_phase_signed_min,wall_phase_signed_max,wall_signed_logit_shift_max,wall_contact_residual_mean,wall_contact_residual_min,wall_contact_residual_max,wall_signed_normal_grad_mean,wall_tangent_grad_mag_mean,wall_signed_delta_q_min,wall_signed_delta_q_max,wall_signed_q_clipped_sum,wall_stage7_active_weight_sum,wall_stage7_active_weight_mean,wall_stage7_delta_q_raw_p50,wall_stage7_delta_q_raw_p99,wall_stage7_delta_q_raw_max,wall_stage7_delta_q_limited_p50,wall_stage7_delta_q_limited_p99,wall_stage7_delta_q_limited_max,wall_stage7_denom_min,wall_stage7_denom_p50,wall_stage7_limiter_reason_sum,wall_stage7_limiter_reason_max,wall_stage7_normal_path_count,wall_stage7_normal_limiter_count,wall_stage7_active_path_count,wall_stage7_active_limiter_count,wall_stage7_actual_cos_p50,wall_stage7_target_cos_p50,wall_stage7_write_candidate_min,wall_stage7_write_candidate_max,wall_stage7_write_minus_profile_min,wall_stage7_write_minus_profile_max,max_mach,nonfinite_total,path_counts
cap_theta030_wall015,0,30.0,15.0,28.964356731538775,-1.0356432684612251,13.964356731538775,134,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,0.0,0.9997155676220589,0.0,0.9997155676220589,0.9998515518141624,0.9997154230446327,0.0,0.9997154230446327,3.52031699890164,0.02546896231016306,-0.03401900475058217,1.1312622686508513,-0.007026393153352902,0.003835051232112483,0.0,3.52031699890164,0.0,7536.0,0.09359165424739195,0.0,1.5445193602471632,1.6184287275238747,0.0,1.5445193602471632,1.6184287275238747,0.0,0.0,10812.0,1.0,16384,10812,7536,1964,0.0,0.0,0.0,0.9998515518141624,-0.006081897457334007,0.194023831763927,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall015,10000,30.0,15.0,28.702575910045827,-1.2974240899541734,13.702575910045827,136,52353.19154030396,-0.004568127976377577,53793.182348763636,-0.004441960751016239,4.402963103953045e-09,0.9997664864583315,4.402963103953045e-09,0.999770288119061,4.402963103953045e-09,0.999770288119061,0.9998802186065421,0.999770173050639,0.0,0.9997701730506388,3.7943117753619293,0.0051940784777908715,-0.03401453549102895,0.34178062041537494,-0.012586997303028716,0.003856341636180687,0.0,3.7943117753619293,0.0,11176.0,0.13879781420765028,0.0,0.7654714453438154,2.0295824210113214,0.0,0.7654714453438154,2.0295824210113214,0.0,0.0,6820.0,1.0,16384,6820,11176,1612,0.0,0.0,0.0,0.9998802186065421,-0.04805751466463093,0.23339150124558083,2.4433898008233297e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall015,20000,30.0,15.0,28.479480889494724,-1.5205191105052762,13.479480889494724,138,52316.62573767267,-0.005263381967479311,53756.65311193495,-0.005118012507103895,1.0126564658194805e-08,0.9997669745776646,1.0126564658194805e-08,0.9997707358199578,1.0126564658194805e-08,0.9997707358199578,0.9998804690203772,0.9997706225007532,0.0,0.9997706225007532,3.790681030567298,0.003975126625072534,-0.03401498083620624,0.3191048161707286,-0.013402956624186302,0.0038916251178154663,0.0,3.790681030567298,0.0,11672.0,0.1449577744659712,0.0,0.7317484550014844,2.1683549973401535,0.0,0.7317484550014844,2.1683549973401535,0.0,0.0,6320.0,1.0,16384,6320,11672,1608,0.0,0.0,0.0,0.9998804690203772,-0.05978905178801169,0.2511325270907603,2.273091336684262e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall015,30000,30.0,15.0,28.38484557093766,-1.6151544290623399,13.38484557093766,138,52296.4834008607,-0.005646363853583353,53736.530917459815,-0.005490416808213539,1.3476774935065137e-08,0.9997697761576385,1.3476774935065137e-08,0.9997732396350895,1.3476774935065137e-08,0.9997732396350895,0.9998819062777918,0.9997731420189849,0.0,0.9997731420189849,3.785295006149937,0.003511164192457162,-0.03405291240492192,0.31131232146230725,-0.013761041249753329,0.003917200292193795,0.0,3.785295006149937,0.0,11892.0,0.14769001490312966,0.0,0.7936582524774907,2.1769879656310476,0.0,0.7936582524774907,2.1769879656310476,0.0,0.0,6080.0,1.0,16384,6080,11892,1588,0.0,0.0,0.0,0.9998819062777918,-0.06599018551942257,0.2674603405962349,2.1128517478778962e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall015,40000,30.0,15.0,28.304233806080205,-1.6957661939197948,13.304233806080205,138,52282.78326431812,-0.005906855184948758,53722.84448105379,-0.005743713623864755,1.540326279084736e-08,0.9997759788125603,1.540326279084736e-08,0.9997793699301006,1.540326279084736e-08,0.9997793699301006,0.9998850883280057,0.9997792739680161,0.0,0.9997792739680161,3.784289537225204,0.0032333818367147535,-0.03402218908819177,0.3093826187837896,-0.013971920835930681,0.003937080839843152,0.0,3.784289537225204,0.0,12020.0,0.1492796820665673,0.0,0.8010433305311478,2.1648264530122465,0.0,0.8010433305311478,2.1648264530122465,0.0,0.0,5948.0,1.0,16384,5948,12020,1584,0.0,0.0,0.0,0.9998850883280057,-0.0687683058377439,0.2751812259672073,2.002853933765125e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall015,50000,30.0,15.0,28.22226770880815,-1.7777322911918496,13.22226770880815,138,52272.37949578028,-0.00610467011250184,53712.45111628452,-0.005936065096655621,1.6056619615864296e-08,0.999782012623373,1.619183935822821e-08,0.9997855035931033,1.619183935822821e-08,0.9997855035931033,0.9998881837382048,0.9997853995773474,0.0,0.9997853995773474,3.784907947321397,0.003037602975412059,-0.03401643730542425,0.30812702413937687,-0.014116377703015574,0.003954786754610164,0.0,3.784907947321397,0.0,12172.0,0.15116741182314952,0.0,0.8309742004441103,2.168005915124388,0.0,0.8309742004441103,2.168005915124388,0.0,0.0,5844.0,1.0,16384,5844,12172,1632,0.0,0.0,0.0,0.9998881837382048,-0.07021983330055559,0.2796372749292112,1.9108857878678794e-05,0,"{""2"": 64136, ""5"": 16384}"
