case_id,step,init_theta_deg,wall_rad_angle_deg,angle_apparent_deg,angle_error_vs_init_deg,angle_error_vs_wall_rad_deg,fit_point_count,phase_fluid_sum,phase_fluid_rel_change,rho_fluid_sum,rho_fluid_rel_change,phase_fluid_min,phase_fluid_max,wall_phase_pred_min,wall_phase_pred_max,wall_phase_raw_min,wall_phase_raw_max,wall_phase_profile_max,wall_phase_signed_profile_max,wall_phase_signed_min,wall_phase_signed_max,wall_signed_logit_shift_max,wall_contact_residual_mean,wall_contact_residual_min,wall_contact_residual_max,wall_signed_normal_grad_mean,wall_tangent_grad_mag_mean,wall_signed_delta_q_min,wall_signed_delta_q_max,wall_signed_q_clipped_sum,max_mach,nonfinite_total,path_counts
cap_theta150_wall150,0,150.0,150.0,147.785158641716,-2.2148413582839908,-2.2148413582839908,160,58987.136903526036,0.0,60420.49376662252,0.0,0.0,0.9999998209771492,-2.828101203181861e-12,0.9566213238147722,-2.828101203181861e-12,0.9566213238147722,0.9277627040792366,0.9565714338949282,0.0,0.9565714338949282,0.0,-0.029225130482826347,-0.5081445282302661,0.13316587085268328,0.0014559257672243672,0.001020637912093863,-1.0456935106793814,0.0,0.0,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta150_wall150,10000,150.0,150.0,148.4768657864806,-1.5231342135193984,-1.5231342135193984,162,59012.26186895599,0.0004259397344720373,60445.59360708703,0.0004154193204950709,7.0654688406207236e-09,0.9999998967408094,2.764990951585204e-09,0.9689132510338294,2.764990951585204e-09,0.9689132510338294,0.9578561184341392,0.9676948949337367,0.0,0.967694894933737,0.0,-0.02167105132219765,-0.3811220492508996,0.10346139537829946,0.0015776157292933383,0.0009629433467127146,-0.949526700878613,0.0,0.0,3.413973460570422e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta150_wall150,20000,150.0,150.0,149.30377413868655,-0.6962258613134509,-0.6962258613134509,164,59015.88951610109,0.00048743868721882604,60449.21762658495,0.00047539929205763664,1.3743998057059972e-08,0.999999899726449,3.1679809627772128e-09,0.9659672189740478,3.1679809627772128e-09,0.9659672189740478,0.9538983769681508,0.964650090657992,0.0,0.964650090657992,0.0,-0.021334325391742723,-0.37600445616841827,0.1035867829979652,0.0015549465539670946,0.0009402666015473882,-0.9460627969807187,0.0,0.0,3.373373404753956e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta150_wall150,30000,150.0,150.0,150.00733512504297,0.007335125042970958,0.007335125042970958,164,59018.6383964645,0.0005340400397799321,60451.96375806805,0.0005208496237564923,1.6397476322305722e-08,0.9999999016702692,3.3218754408055855e-09,0.9636276030426854,3.3218754408055855e-09,0.9636276030426854,0.9507625006745773,0.9622333430112576,0.0,0.9622333430112576,0.0,-0.021139496322836154,-0.3726300305362404,0.10367114054858706,0.0015336878935770068,0.0009229804812382537,-0.9383873569757892,0.0,0.0,3.1326248641384796e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta150_wall150,40000,150.0,150.0,150.67347949626605,0.6734794962660544,0.6734794962660544,164,59020.917799233175,0.0005726824097665263,60454.24088143395,0.0005585375541910894,1.6333660975404678e-08,0.999999902279378,3.4933867415142555e-09,0.9615687197993563,3.4933867415142555e-09,0.9615687197993563,0.9480071092056164,0.9601077766846081,0.0,0.9601077766846081,0.0,-0.021018059987341176,-0.37221637380452893,0.10374167343829543,0.001514640630715262,0.0009084870414227762,-0.9321103038370824,0.0,0.0,2.8681724479227127e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta150_wall150,50000,150.0,150.0,151.29618539015303,1.2961853901530276,1.2961853901530276,164,59022.87164689129,0.0006058056932598448,60456.19277524442,0.0005908427157146922,1.617913192060503e-08,0.9999999016319664,3.6156826965523117e-09,0.9597010858246787,3.6156826965523117e-09,0.9597010858246787,0.9455108565076096,0.958180660794999,0.0,0.9581806607949988,0.0,-0.020846559860241018,-0.37701093450270895,0.10380412066488431,0.0014975940390464224,0.000895921464205358,-0.9324952202363487,0.0,0.0,2.6133631974568806e-05,0,"{""2"": 64136, ""5"": 16384}"
