case_id,step,active_count,normal_limiter_count,normal_limiter_fraction,vector_limiter_count,vector_limiter_fraction,ratio_cap_limiter_count,ratio_cap_limiter_fraction_of_normal_limiter,abs_cap_limiter_count,abs_cap_limiter_fraction_of_normal_limiter,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,normal_raw_abs_p50,target_minus_raw_abs_p50,target_normal_abs_p50,tangent_mag_p95,tan_coeff_times_tangent_p50,smooth_weight_total_p50,limiter_ratio_p50,sphere11_active_count,sphere11_normal_limiter_count,outer90_active_count,outer90_normal_limiter_count,fallback_angle_active_count,fallback_angle_normal_limiter_count,normal_agreement_p05,max_mach,nonfinite_total,root_cause_classification,write_mode_allowed
theta030_cap_on_sphere_shadow,1000,5460,3988,0.7304029304029304,0,0.0,2340,0.5867602808425276,1648,0.41323971915747243,2.42566737160302,9.356428316185978,17.049206151474895,0.06017788218074154,0.08609959132077992,0.15183552803259154,0.08321320768879015,0.15183552803259154,1.0,0.4122576787348907,5460,3988,0,0,0,0,0.9807781624461321,1.892877581620868e-05,0,sphere11_low_angle_candidate_dominated_normal_limiter_dominated_ratio_cap_contract_dominated,False
theta030_free_sphere_shadow,1000,924,788,0.8528138528138528,0,0.0,720,0.9137055837563451,68,0.08629441624365482,7.3964430519538045,17.6527587498893,23.033118069924257,0.05119266378058963,0.20515335341597168,0.24846810229151395,0.13555046771429619,0.24846810229151395,1.0,0.13520012159572392,924,788,0,0,0,0,0.9739150450244611,0.0003084275362609073,0,sphere11_low_angle_candidate_dominated_normal_limiter_dominated_ratio_cap_contract_dominated,False
