case,target_theta_deg,init_contact_angle_deg,theta_bbox_raw_mean_deg,theta_calibrated_bbox_deg,target_error_calibrated_deg,calibration_outside_range,radius_used_for_calibration,width_used_for_calibration,z_indices
init120_target150_1000,150.0,120.0,112.11282596049638,121.0,-29.0,False,18.0,4.0,47 48 49
init60_target30_1000,30.0,60.0,58.34536322050909,61.930307150360406,31.930307150360406,False,18.0,4.0,47 48 49
