step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,droplet_volume_radius,pressure_inside_mean,pressure_outside_mean,laplace_delta_p,sigma_theory,laplace_delta_p_target,laplace_delta_p_relative_error,mu_min,mu_max,u_max,spurious_u_rms_interface,interface_cells,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,phase_wall_wetting_correction_abs,phase_wall_wetting_clamp_cells,mass_correction_delta,mass_correction_weight,mass_correction_count,phase_source_sum_abs_max,phase_source_first_max,wall_ghost_min,wall_ghost_max,near_wall_interface_cells,near_wall_force_over_rho_max,near_wall_mu_min,near_wall_mu_max,near_wall_mu_abs_max,wall_ghost_clamp_low_cells,wall_ghost_clamp_high_cells,nonfinite_count
0,4093.730223373706,0.0,0.0,0.9997911573421636,0,0,0.1,0.9998120416079472,0.0,0.33333333333333326,9.923774108018574,0.33333333333333315,0.3333333333333333,-1.6653345369377348e-16,0.0016666666666666668,0.00033589371312270653,1.0000000000004958,-0.04999672913660428,0.0027038373125922886,0.0006302146244715518,7.772315351717978e-05,4532,0.0,0.02499314384364242,0.0,0.0,0.0012604292489430933,0.00401738471864977,0,0.004629629629629629,0.2962962962962963,9216,9216,0,0.0,0.0,0.0,0.0,0,0.0,1038.5519502196858,64436,0.0,0.0,0.0,0.9999719826173243,504,0.00401738471864977,-0.003666130716424797,0.0027038373125922886,0.003666130716424797,2784,0,0
100,4093.7302233736837,-2.2282620193436742e-11,0.0,0.999876826009177,0,0,0.1,0.9998891434082594,0.0,0.33364509894615857,9.923774108018556,0.3335126471136443,0.33333184462374993,0.00018080248989438275,0.0016666666666666668,0.00033589371312270713,0.4617270796362514,-0.04999806730441432,0.0013830244220659612,0.001179255878920101,0.00042414937092918084,4634,0.0,0.02499595442155673,0.0,0.0,0.0006566265396986955,0.0014619791677029496,0,0.0,0.2965733254246899,9216,9216,82944,4093.7302233736837,148.47867730869316,7.632204986331078e-15,18.146453615736167,8262,0.0,1058.8296452288162,60717,9.965659330652613e-18,0.0833333122532288,2.23827470345162e-16,0.9999834846751233,556,0.0014619791677029496,-0.002036986932564532,0.0013830244220659612,0.002036986932564532,1977,0,0
200,4093.730223373661,-4.501998773775995e-11,0.0,0.9998775810291961,0,0,0.1,0.9998898229262765,0.0,0.3336576999319907,9.923774108018536,0.333524647056257,0.33333174290674394,0.00019290414951306234,0.0016666666666666668,0.0003358937131227078,0.4256988387198807,-0.04999808015689002,0.0012487549317254953,0.0012619370120233503,0.0005062931378319291,4699,0.0,0.0249959797217781,0.0,0.0,0.0005704164724963065,0.001151542291753182,0,0.0,0.29658456131196925,9216,9216,82944,4093.730223373661,151.25223320802453,2.3731708697778478e-15,19.38888535982459,8132,0.0,1070.978002512749,63139,1.083029698732032e-17,0.08333333311187179,1.3966988904214485e-14,0.9999835859892104,606,0.001151542291753182,-0.001825671764028121,0.0012487549317254953,0.001825671764028121,1448,0,0
300,4093.7302233736364,-6.957634468562901e-11,0.0,0.9998800783510635,0,0,0.1,0.9998920705159572,0.0,0.33365283550178215,9.923774108018517,0.333516982189948,0.3333318184662848,0.00018516372366322864,0.0016666666666666668,0.00033589371312270843,0.44874311000996686,-0.04999811746732252,0.0011871036160825325,0.0013509018629014003,0.000548523385061681,4711,0.0,0.024996056344819908,0.0,0.0,0.00052170824606058,0.001008270249557922,0,0.0,0.2965795721408471,9216,9216,82944,4093.7302233736364,153.47994356029093,4.6874912568397575e-15,20.330974508260795,7839,0.0,1080.677988667025,65932,1.1861270299279043e-17,0.0833333313003076,8.489802676485031e-14,0.9999839210910201,625,0.001008270249557922,-0.001704189586789885,0.0011871036160825325,0.001704189586789885,1090,0,0
400,4093.730223373614,-9.185896487906575e-11,0.0,0.999890357070519,0,0,0.1,0.9999013213634671,0.0,0.33364738252302195,9.923774108018499,0.33351622385617713,0.3333318541386887,0.00018436971748841957,0.0016666666666666668,0.00033589371312270903,0.4511069713857209,-0.049998271118791106,0.001156954199947115,0.0013808343262610135,0.0005766060675860041,4719,0.0,0.024996394581049634,0.0,0.0,0.0004888478317054594,0.0009176151437320197,0,0.0,0.2965745311429058,9216,9216,82944,4093.730223373614,155.3305409205069,3.617661892424104e-15,21.092349754247213,7428,0.0,1088.6186425420126,68211,9.630961275410042e-18,0.08333333226754881,2.3584823733244937e-13,0.9999853002218082,642,0.0009176151437320197,-0.0016218798067922167,0.001156954199947115,0.0016218798067922167,805,0,0
500,4093.7302233735913,-1.1459633242338896e-10,0.0,0.9998764388557438,0,0,0.1,0.9998887949701695,0.0,0.33363956428526687,9.923774108018481,0.33350876404224916,0.3333319604312484,0.00017680361100075315,0.0016666666666666668,0.0003358937131227096,0.4736322708839663,-0.0499980551380719,0.0011311574567216568,0.001379955434645483,0.0005964709398865395,4744,0.0,0.024995938660700646,0.0,0.0,0.00046451544726662037,0.0008534149860526364,0,0.0,0.2965679668453745,9216,9216,82944,4093.7302233735913,156.91530755097887,-2.5855688978054814e-15,21.737090138803183,7411,0.0,1095.6186392913,70244,1.0639359324267539e-17,0.083333294593592,4.4013955522635433e-13,0.9999834327236719,665,0.0008534149860526364,-0.0015610831952138588,0.0011311574567216568,0.0015610831952138588,555,0,0
600,4093.7302233735686,-1.3733369996771216e-10,0.0,0.9998769846689848,0,0,0.1,0.9998892862020863,0.0,0.33364783587387836,9.923774108018463,0.33351941797182055,0.33333183326830157,0.0001875847035189837,0.0016666666666666668,0.0003358937131227103,0.44153553284739694,-0.04999806315347447,0.0011016450194283158,0.001368598414674742,0.0006109168332776191,4760,0.0,0.024995956312706315,0.0,0.0,0.00044542013648689224,0.0008048069634776426,0,0.0,0.2965754884961856,9216,9216,82944,4093.7302233735686,158.29918950817947,3.349016309959839e-15,22.295091414571463,7520,0.0,1101.6863156999832,72043,1.0545536206315764e-17,0.08333326829094342,6.684370780249151e-13,0.9999835059653343,683,0.0008048069634776426,-0.0015136376790927878,0.0011016450194283158,0.0015136376790927878,332,0,0
700,4093.730223373544,-1.6189005691558123e-10,0.0,0.9998762961466798,0,0,0.1,0.9998886665320119,0.0,0.3336395840330709,9.923774108018444,0.33351277583512484,0.33333192379247994,0.00018085204264489674,0.0016666666666666668,0.0003358937131227109,0.4615795545454979,-0.049998053874648944,0.0010678232599876357,0.0013629140407653126,0.0006233776353170317,4789,0.0,0.024995934461468996,0.0,0.0,0.0004297775374002397,0.0007662242758025412,0,0.0,0.2965681424479891,9216,9216,82944,4093.730223373544,159.52767779109433,-1.8802423752829e-16,22.78920496425866,7661,0.0,1107.2031931395009,73627,1.0970858255193879e-17,0.08333332115583988,8.961018699257244e-13,0.9999834135737232,701,0.0007662242758025412,-0.0014750741553994653,0.0010678232599876357,0.0014750741553994653,123,0,0
800,4093.730223373523,-1.8280843505635858e-10,0.0,0.9998874962638515,0,0,0.1,0.9998987466374664,0.0,0.33364597045994193,9.923774108018426,0.33352358757848516,0.33333179430376864,0.00019179327471652297,0.0016666666666666668,0.0003358937131227115,0.42900605988283136,-0.04999822998507414,0.0010617556766606036,0.0013662663459891164,0.0006343904803635415,4799,0.0,0.02499630249879129,0.0,0.0,0.0004165821478437508,0.0007345635553564498,0,0.0,0.29657362836013906,9216,9216,82944,4093.730223373523,160.63130587997708,-1.58947033340352e-15,23.231400009092823,7783,0.0,1112.138284742436,75076,1.1229869739892577e-17,0.08333333325683216,1.0988847078756522e-12,0.9999849163960147,703,0.0007345635553564498,-0.0014428430060422427,0.0010617556766606036,0.0014428430060422427,0,0,0
900,4093.730223373501,-2.0509105524979532e-10,0.0,0.9998915976758586,0,0,0.1,0.9999024379082727,0.0,0.33364105072774897,9.923774108018407,0.3335201089286551,0.3333318522049246,0.0001882567237304622,0.0016666666666666668,0.00033589371312271217,0.4395348398149795,-0.049998297969635015,0.0010485992667200494,0.0013722620047578132,0.0006434157351845881,4820,0.0,0.02499643901904217,0.0,0.0,0.0004051683590997483,0.0007078695848691912,0,0.0,0.29656921341568626,9216,9216,82944,4093.730223373501,161.6319564773437,3.4464766092084275e-15,23.633028714958026,7901,0.0,1116.7160459240174,76344,9.079288357810394e-18,0.0833333165844006,1.278658475083046e-12,0.9999854666656744,720,0.0007078695848691912,-0.0014152505012010046,0.0010485992667200494,0.0014152505012010046,0,0,0
1000,4093.730223373479,-2.269189280923456e-10,0.0,0.9998869264910082,0,0,0.1,0.9998982338419073,0.0,0.33364099301365036,9.92377410801839,0.3335195232704318,0.33333185910972807,0.0001876641607037044,0.0016666666666666668,0.0003358937131227127,0.4412989783016728,-0.04999822887379351,0.0010412833175416697,0.0013738086849620361,0.0006512535683369162,4832,0.0,0.024996281408345616,0.0,0.0,0.00039511706150474396,0.000684907067832583,0,0.0,0.29656935726870415,9216,9216,82944,4093.730223373479,162.5471227596128,-7.301321439433503e-16,24.00126082291359,8019,0.0,1121.0030042876401,77577,9.906487109502684e-18,0.0833333124531636,1.4484879401175953e-12,0.9999848399496197,738,0.000684907067832583,-0.0013912275496441664,0.0010412833175416697,0.0013912275496441664,0,0,0
