theta_true_deg,theta_bbox_raw_deg
15.0,nan
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,16.70507694553535
28.0,22.09233376445572
29.0,20.609692937532067
30.0,20.609692937532067
31.0,20.609692937532067
32.0,18.53144732925097
33.0,17.49232452511042
34.0,17.49232452511042
35.0,28.63441346710664
36.0,34.20545793810475
37.0,29.862834356275105
38.0,29.862834356275105
39.0,29.862834356275105
40.0,29.862834356275105
41.0,27.60830467234131
42.0,38.88006965635238
43.0,38.88006965635238
44.0,38.88006965635238
45.0,38.88006965635238
46.0,36.32744771708129
47.0,35.05113674744574
48.0,45.66730835583508
49.0,45.66730835583508
50.0,45.66730835583508
51.0,45.66730835583508
52.0,41.708916079156694
53.0,47.85409877554772
54.0,50.92669012374322
55.0,50.92669012374322
56.0,50.92669012374322
57.0,50.92669012374322
58.0,53.71264547687147
59.0,55.105623153435594
60.0,55.105623153435594
61.0,55.105623153435594
62.0,55.105623153435594
63.0,62.65738573560835
64.0,62.65738573560835
65.0,62.65738573560835
66.0,59.88423036059876
67.0,62.991541652621756
68.0,65.23848614238565
69.0,65.23848614238565
70.0,65.23848614238565
71.0,65.23848614238565
72.0,71.5077745088735
73.0,71.5077745088735
74.0,71.5077745088735
75.0,71.5077745088735
76.0,77.31961650818019
77.0,74.47834599204029
78.0,74.47834599204029
79.0,73.05771073397034
80.0,76.58411420524908
81.0,78.34731594088845
82.0,78.34731594088845
83.0,78.34731594088845
84.0,81.62715776238976
85.0,83.2670786731404
86.0,83.2670786731404
87.0,83.2670786731404
88.0,83.2670786731404
89.0,87.83815162667862
90.0,87.83815162667862
91.0,87.83815162667862
92.0,87.83815162667862
93.0,92.08325335201995
94.0,92.08325335201995
95.0,92.08325335201995
96.0,92.08325335201995
97.0,96.02557500836669
98.0,96.02557500836669
99.0,96.02557500836669
100.0,96.02557500836669
101.0,99.68800075016138
102.0,99.68800075016138
103.0,99.68800075016138
104.0,99.68800075016138
105.0,103.09258156658808
106.0,103.09258156658808
107.0,103.09258156658808
108.0,103.09258156658808
109.0,105.20433032773734
110.0,106.26020470831196
111.0,106.26020470831196
112.0,106.26020470831196
113.0,106.26020470831196
114.0,109.2104083100259
115.0,109.2104083100259
116.0,109.2104083100259
117.0,109.2104083100259
118.0,111.04433611690668
119.0,111.96130002034708
120.0,111.96130002034708
121.0,111.96130002034708
122.0,111.96130002034708
123.0,114.5295474557848
124.0,114.5295474557848
125.0,114.5295474557848
126.0,114.5295474557848
127.0,114.5295474557848
128.0,116.93041618962341
129.0,116.93041618962341
130.0,116.93041618962341
131.0,116.93041618962341
132.0,116.93041618962341
133.0,118.42869704037399
134.0,119.17783746574928
135.0,119.17783746574928
136.0,119.17783746574928
137.0,119.17783746574928
138.0,119.17783746574928
139.0,120.58227443152806
140.0,121.28449291441746
141.0,121.28449291441746
142.0,121.28449291441746
143.0,121.28449291441746
144.0,121.28449291441746
145.0,121.28449291441746
146.0,123.26190741344284
147.0,123.26190741344284
148.0,123.26190741344284
149.0,123.26190741344284
150.0,123.26190741344284
151.0,123.26190741344284
152.0,123.26190741344284
153.0,123.26190741344284
154.0,124.5009985402152
155.0,125.12054410360139
156.0,125.12054410360139
157.0,125.12054410360139
158.0,125.12054410360139
159.0,125.12054410360139
160.0,125.12054410360139
161.0,125.12054410360139
162.0,125.12054410360139
163.0,125.12054410360139
164.0,125.12054410360139
165.0,126.2867797984298
