theta_true_deg,theta_bbox_raw_deg
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,13.739795291688045
25.0,20.609692937532067
26.0,17.49232452511042
27.0,17.49232452511042
28.0,17.49232452511042
29.0,15.18928673718289
30.0,15.18928673718289
31.0,29.862834356275105
32.0,26.48103983037441
33.0,26.48103983037441
34.0,26.48103983037441
35.0,24.67855732962877
36.0,23.77731607925595
37.0,35.05113674744574
38.0,35.05113674744574
39.0,31.890791801845708
40.0,31.890791801845708
41.0,31.890791801845708
42.0,41.708916079156694
43.0,38.35801605162144
44.0,38.35801605162144
45.0,38.35801605162144
46.0,38.35801605162144
47.0,43.60281897270362
48.0,43.60281897270362
49.0,43.60281897270362
50.0,43.60281897270362
51.0,49.04398918230777
52.0,47.924977949156364
53.0,47.924977949156364
54.0,47.924977949156364
55.0,54.81515087563681
56.0,52.630820457663894
57.0,51.538655248677436
58.0,51.538655248677436
59.0,57.77316353382142
60.0,57.77316353382142
61.0,57.77316353382142
62.0,58.388228876989
63.0,60.28277110415069
64.0,60.28277110415069
65.0,60.28277110415069
66.0,65.65708358282507
67.0,65.65708358282507
68.0,65.65708358282507
69.0,65.73235854420396
70.0,67.38013505195957
71.0,67.38013505195957
72.0,67.38013505195957
73.0,72.05474677020722
74.0,72.05474677020722
75.0,72.05474677020722
76.0,76.46765035489388
77.0,76.46765035489388
78.0,76.46765035489388
79.0,75.9511275471918
80.0,77.31961650818019
81.0,77.31961650818019
82.0,77.31961650818019
83.0,81.20258929000894
84.0,81.20258929000894
85.0,81.20258929000894
86.0,84.87245957707
87.0,84.87245957707
88.0,84.87245957707
89.0,88.33936902748398
90.0,88.33936902748398
91.0,88.33936902748398
92.0,91.61385891020474
93.0,91.61385891020474
94.0,91.61385891020474
95.0,93.67568212487932
96.0,94.70659373221662
97.0,94.70659373221662
98.0,94.70659373221662
99.0,97.6281496685807
100.0,97.6281496685807
101.0,97.6281496685807
102.0,100.38885781546962
103.0,100.38885781546962
104.0,100.38885781546962
105.0,102.99869255930913
106.0,102.99869255930913
107.0,102.99869255930913
108.0,104.6443616518002
109.0,105.46719619804573
110.0,105.46719619804573
111.0,105.46719619804573
112.0,107.80343206578398
113.0,107.80343206578398
114.0,107.80343206578398
115.0,110.01595960288267
116.0,110.01595960288267
117.0,110.01595960288267
118.0,110.01595960288267
119.0,112.11282596049638
120.0,112.11282596049638
121.0,112.11282596049638
122.0,113.43865516471153
123.0,114.10156976681911
124.0,114.10156976681911
125.0,114.10156976681911
126.0,115.98923358383301
127.0,115.98923358383301
128.0,115.98923358383301
129.0,115.98923358383301
130.0,117.78238234290973
131.0,117.78238234290973
132.0,117.78238234290973
133.0,117.78238234290973
134.0,117.78238234290973
135.0,119.48712567294149
136.0,119.48712567294149
137.0,119.48712567294149
138.0,119.48712567294149
139.0,121.10914254014881
140.0,121.10914254014881
141.0,121.10914254014881
142.0,121.10914254014881
143.0,121.10914254014881
144.0,122.13885219413628
145.0,122.65370702113
146.0,122.65370702113
147.0,122.65370702113
148.0,122.65370702113
149.0,122.65370702113
150.0,124.1257143469228
151.0,124.1257143469228
152.0,124.1257143469228
153.0,124.1257143469228
154.0,124.1257143469228
155.0,124.1257143469228
156.0,124.1257143469228
157.0,125.06170918323757
158.0,125.52970660139495
159.0,125.52970660139495
160.0,125.52970660139495
161.0,125.52970660139495
162.0,125.52970660139495
163.0,125.52970660139495
164.0,125.52970660139495
165.0,125.52970660139495
