step,wall_count,fluid_count,wall_phase_pred_gt_1_count,wall_phase_profile_pred_gt_1_count,wall_phase_field_gt_1_count,fluid_phase_field_gt_1_count,wall_profile_delta_nonzero_count,wall_clamp_delta_nonzero_count,wall_phase_pred_max,wall_phase_profile_pred_max,phase_wall_max,phase_fluid_max,max_mach,nonfinite_count
0,121164,954036,64,0,0,0,34780,0,1.7954628943313244,1.0,1.0,0.9999997995397631,0.0,0
50000,121164,954036,1628,0,0,0,72900,0,1.485158068259571,1.0,1.0,0.9999998854984499,0.00048228509571426,0
100000,121164,954036,3166,6,6,6,72900,0,1.6260530056179818,1.0000000741234318,1.0000000741234318,1.0000001462106285,0.0003568731570990685,0
150000,121164,954036,3944,48,48,92,72900,0,1.6518086922000872,1.0000002532178107,1.0000002532178107,1.000000499508738,0.0002728513860450312,0
200000,121164,954036,4478,52,52,132,72900,0,1.7048204384422396,1.0000002177629779,1.0000002177629779,1.0000004295672509,0.00021812127176391714,0
250000,121164,954036,4912,52,52,82,72900,0,1.7345985825809933,1.0000001389116178,1.0000001389116178,1.0000002740177707,0.00018107907431293396,0
300000,121164,954036,5412,34,34,34,72900,0,1.7175439207282097,1.0000000597156018,1.0000000597156018,1.000000117788419,0.0001548220913878376,0
350000,121164,954036,5812,0,0,0,72900,0,1.682070394370883,1.0,1.0,0.9999999094573636,0.00013451873927999177,0
400000,121164,954036,6106,0,0,0,72900,0,1.6718619545984224,1.0,1.0,0.9999995949190248,0.00011860492438299257,0
