label,lane,mobility_M,step,fit_contact_angle_deg,H1H2_error_percent,fluid_phase_drift_percent,max_mach_fluid,phase_max,note
profile M0.1 200k reference,profile_diag_reference_not_same_binary,0.1,50000,180.0,229.60368541905544,-0.4952281145276315,0.00048670161977753027,1.0,not same binary/output lane; background only
profile M0.1 200k reference,profile_diag_reference_not_same_binary,0.1,100000,180.0,198.8193938976058,-0.8730793112368558,0.0003189158112343261,1.0000001439082409,not same binary/output lane; background only
profile M0.1 200k reference,profile_diag_reference_not_same_binary,0.1,150000,165.14052047263266,177.2462467702985,-1.1636151097194658,0.00022967005111777298,1.0000005005959323,not same binary/output lane; background only
profile M0.1 200k reference,profile_diag_reference_not_same_binary,0.1,200000,131.92039553494047,161.5888700682854,-1.379516112532491,0.0001760526314503678,1.0000004383324983,not same binary/output lane; background only
