label,lane,mobility_M,step,fit_contact_angle_deg,H1H2_error_percent,Hmax_error_percent,measured_Hmax_lu,measured_H1H2_lu,fluid_phase_drift_percent,fluid_rho_drift_percent,max_mach_fluid,phase_nonfinite_count,u_nonfinite_count,rho_nonfinite_count,finiteness_gate_passed,raw_wall_phase_pred_max,normal_path_raw_wall_phase_pred_max,normal_path_unified_profile_pred_max,normal_path_wall_actual_minus_profile_max,wall_phase_field_gt_1_count,fluid_phase_field_gt_1_count,wall_phase_pred_gt_1_count,normal_path_count,lower90_phi_fraction,bottom120_phi_fraction,zmin_outside_sphere_phi_fraction,zmin_outside_sphere_phi_sum,remote_case_root
v6 M0.2 50k,v6_normal_path_diag,0.2,50000,107.12571932305862,104.71912301552241,47.09371845054149,64.15306018662592,40.15306018662592,-0.6185642768798076,-0.6059529542383486,0.0004918523894985014,0,0,0,,1.4480228316330213,1.4480228316330213,0.9999976721925408,0.0,0,0,1920,10256,0.03161021144661865,0.008126678348762557,0.0,0.0,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030
v6 M0.1 50k,v6_normal_path_diag,0.1,50000,110.46399085449248,107.24043515777062,48.22758933041286,64.64758359365169,40.64758359365169,-0.4952281145276315,-0.4851313763762904,0.00048670161977753027,0,0,0,True,1.4846131178305182,1.4846131178305182,0.9999936446714413,0.0,0,0,1628,10256,0.013386032519891846,0.002109199983250064,0.0,0.0,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_M0p1_50k_20260611/theta030
