case_id,step,init_theta_deg,wall_rad_angle_deg,angle_apparent_deg,angle_error_vs_init_deg,angle_error_vs_wall_rad_deg,fit_point_count,phase_fluid_sum,phase_fluid_rel_change,rho_fluid_sum,rho_fluid_rel_change,phase_fluid_min,phase_fluid_max,wall_phase_pred_min,wall_phase_pred_max,wall_phase_raw_min,wall_phase_raw_max,wall_phase_profile_max,wall_phase_signed_profile_max,wall_phase_signed_min,wall_phase_signed_max,wall_signed_logit_shift_max,wall_contact_residual_mean,wall_contact_residual_min,wall_contact_residual_max,wall_signed_normal_grad_mean,wall_tangent_grad_mag_mean,wall_signed_delta_q_min,wall_signed_delta_q_max,wall_signed_q_clipped_sum,wall_stage7_active_weight_sum,wall_stage7_active_weight_mean,wall_stage7_delta_q_raw_p50,wall_stage7_delta_q_raw_p99,wall_stage7_delta_q_raw_max,wall_stage7_delta_q_limited_p50,wall_stage7_delta_q_limited_p99,wall_stage7_delta_q_limited_max,wall_stage7_denom_min,wall_stage7_denom_p50,wall_stage7_limiter_reason_sum,wall_stage7_limiter_reason_max,wall_stage7_normal_path_count,wall_stage7_normal_limiter_count,wall_stage7_active_path_count,wall_stage7_active_limiter_count,wall_stage7_actual_cos_p50,wall_stage7_target_cos_p50,wall_stage7_write_candidate_min,wall_stage7_write_candidate_max,wall_stage7_write_minus_profile_min,wall_stage7_write_minus_profile_max,wall_stage8_active_weight_sum,wall_stage8_active_weight_mean,wall_stage8_normal_grad_raw_p50,wall_stage8_normal_grad_target_p50,wall_stage8_contact_residual_mean,wall_stage8_contact_residual_p50,wall_stage8_contact_residual_p99,wall_stage8_tangent_grad_mag_p50,wall_stage8_target_cos_p50,wall_stage8_grad_write_delta_mag_p50,wall_stage8_grad_write_delta_mag_max,wall_stage8_limiter_reason_sum,wall_stage8_limiter_reason_max,wall_stage8_limiter_nonzero_count,wall_stage8_active_count,wall_stage8_delta_limiter_count,wall_stage8_missing_wall_data_count,wall_stage8_normal_low_agreement_count,wall_stage8_local_wall_angle_wall_p50,wall_stage8_local_wall_angle_wall_min,wall_stage8_local_wall_angle_wall_max,wall_stage8_local_wall_normal_mag_wall_p50,wall_stage8_fluid_wall_angle_p50,wall_stage8_fluid_wall_angle_min,wall_stage8_fluid_wall_angle_max,wall_stage8_fluid_wall_normal_mag_p50,wall_stage8_fluid_wall_data_count_p50,wall_stage8_fluid_wall_data_count_p05,wall_stage8_grad_candidate_use_sum,wall_stage8_grad_candidate_mag_p50,wall_stage8_grad_candidate_mag_max,wall_stage8_normal_agreement_p05,wall_stage8_normal_agreement_p50,wall_stage8_used_geom_normal_sum,wall_stage8_data_fluid_count,wall_stage8_active_fluid_count,wall_stage8_fluid_wall_angle_data_p50,wall_stage8_fluid_wall_angle_active_p50,wall_stage8_fluid_wall_data_count_data_p50,wall_stage8_fluid_wall_data_count_active_p50,wall_stage8_normal_agreement_data_p05,wall_stage8_normal_agreement_data_p50,wall_stage8_normal_agreement_active_p05,wall_stage8_normal_agreement_active_p50,wall_stage8_used_geom_normal_data_sum,wall_stage8_used_geom_normal_active_sum,wall_stage8_grad_write_delta_mag_active_p50,wall_stage8_grad_write_delta_mag_active_max,wall_stage8_contact_residual_active_p99,max_mach,nonfinite_total,path_counts
cap_theta030_wall005,0,30.0,5.0,29.392831485930138,-0.6071685140698619,24.392831485930138,130,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,7536.0,0.005049774046734533,0.0,0.0,0.004240159052000242,0.0,0.15037541202186988,0.0,0.0,0.0,0.2499999999996661,5002176.0,128.0,1489276,7536,4468,1414592,0,1.5707963267948966,0.08726646259971647,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7536.0,1.501414356831476e-13,0.41140317984077696,0.0,0.0,77752.0,77752,7536,1.5707963267948968,0.08726646259971649,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7536.0,0.2499999999992455,0.2499999999996661,0.1832364891708922,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall005,25000,30.0,5.0,29.333529456742035,-0.6664705432579652,24.333529456742035,134,52385.14297356977,-0.003960610572111306,53825.101830596206,-0.0038512223830749386,1.1909944002604445e-08,0.9997665487189867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,11308.0,0.007577341417260364,0.0,0.0,0.0006048910339415424,0.0,0.025760855653702112,0.0,0.0,0.0,0.24999999999943293,4926448.0,128.0,1485428,11308,4392,1414592,0,1.5707963267948966,0.08726646259971647,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,11308.0,1.1404437767939052e-10,0.4167512377618935,0.0,0.0,77752.0,77752,11308,1.5707963267948968,0.08726646259971649,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,11308.0,0.18166665242260455,0.24999999999943293,0.10890532789833582,1.6625390975991807e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall005,50000,30.0,5.0,28.958699717579318,-1.041300282420682,23.958699717579318,136,52310.76661892408,-0.005374785940622612,53750.79985230515,-0.005226339611503132,1.561042047867594e-08,0.9997746704324204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,12436.0,0.008333199315975405,0.0,0.0,0.00043451200680660337,0.0,0.011742774560366008,0.0,0.0,0.0,0.24999999999933387,4833328.0,128.0,1483716,12436,3808,1414592,0,1.5707963267948966,0.08726646259971647,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,12436.0,2.98898535761988e-11,0.41839345217314744,0.0,0.0,77752.0,77752,12436,1.5707963267948968,0.08726646259971649,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,12436.0,0.14225124453170912,0.24999999999933387,0.10126569933429874,1.7604713220026688e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall008,0,30.0,8.0,29.39464187111961,-0.6053581288803898,21.39464187111961,130,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,7536.0,0.005049774046734533,0.0,0.0,0.004172345140566694,0.0,0.1444487826716947,0.0,0.0,0.0,0.2499999999993887,4796352.0,128.0,1487668,7536,2860,1414592,0,1.5707963267948966,0.13962634015954636,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7536.0,1.501414356831476e-13,0.411403179840498,0.0,0.0,77752.0,77752,7536,1.5707963267948968,0.1396263401595464,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7536.0,0.1810568294425271,0.2499999999993887,0.177309859820717,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall008,25000,30.0,8.0,29.465357875512144,-0.5346421244878563,21.465357875512144,132,52391.337944891115,-0.003842820773283209,53831.290606946175,-0.0037366858232488363,1.190961663056822e-08,0.9997664973341068,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,11164.0,0.00748084891955206,0.0,0.0,0.0005620957889181503,0.0,0.02475870592736338,0.0,0.0,0.0,0.21949666286816616,4366832.0,28.0,1481180,11164,0,1414592,0,1.5707963267948966,0.13962634015954636,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,11164.0,1.1322833369097899e-10,0.3817059657041988,0.0,0.0,77752.0,77752,11164,1.5707963267948968,0.1396263401595464,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,11164.0,0.08812922361649937,0.21949666286816616,0.10241195379650304,1.612177113253507e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall008,50000,30.0,8.0,28.95961181003882,-1.040388189961181,20.95961181003882,136,52320.83527358525,-0.005183342793352061,53760.85843831167,-0.0050401839366567835,1.5587634176695357e-08,0.9997741919830281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,12252.0,0.008209903346681462,0.0,0.0,0.00038675820973656716,0.0,0.010944905586720784,0.0,0.0,0.0,0.1800906709731348,4349040.0,28.0,1480092,12252,0,1414592,0,1.5707963267948966,0.13962634015954636,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,12252.0,2.9699625922999814e-11,0.34118283158594903,0.0,0.0,77752.0,77752,12252,1.5707963267948968,0.1396263401595464,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,12252.0,0.06511021945284275,0.1800906709731348,0.09481581633485915,1.707509605267189e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011,0,30.0,11.0,29.397304912728284,-0.6026950872717158,18.397304912728284,130,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,7536.0,0.005049774046734533,0.0,0.0,0.004076328194599818,0.0,0.1358078973777883,0.0,0.0,0.0,0.2499999999990159,4488128.0,128.0,1485260,7536,452,1414592,0,1.5707963267948966,0.19198621771937624,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7536.0,1.501414356831476e-13,0.41116461525923664,0.0,0.0,77752.0,77752,7536,1.5707963267948968,0.1919862177193763,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7536.0,0.11285780121444472,0.2499999999990159,0.16866897452681062,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011,25000,30.0,11.0,29.453859887617266,-0.5461401123827336,18.453859887617266,132,52400.48572962784,-0.0036688868407484597,53840.42924389822,-0.0035675557757568954,1.1902775935477398e-08,0.9997664251650658,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,10920.0,0.007317347742879658,0.0,0.0,0.0005057008969444469,0.0,0.024121773224769497,0.0,0.0,0.0,0.12076769220256028,4370720.0,28.0,1481424,10920,0,1414592,0,1.5707963267948966,0.19198621771937624,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,10920.0,1.1496377064023836e-10,0.28353937622914993,0.0,0.0,77752.0,77752,10920,1.5707963267948968,0.1919862177193763,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,10920.0,0.048859869478731756,0.12076769220256028,0.09284382377422784,1.5359697177025627e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011,50000,30.0,11.0,28.96071934786895,-1.0392806521310511,17.96071934786895,136,52335.80079732609,-0.004898791672878599,53775.80899652879,-0.00476349183973245,1.5544880656109053e-08,0.9997735002028174,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,11984.0,0.008030320087057676,0.0,0.0,0.00032429293946371944,0.0,0.010715027757234107,0.0,0.0,0.0,0.09416360442017357,4352800.0,28.0,1480360,11984,0,1414592,0,1.5707963267948966,0.19198621771937624,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,11984.0,2.9535908043261e-11,0.255035358209614,0.0,0.0,77752.0,77752,11984,1.5707963267948968,0.1919862177193763,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,11984.0,0.0356813543803842,0.09416360442017357,0.08535842496247918,1.6264855470443726e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall015,0,30.0,15.0,29.402218004427468,-0.5977819955725323,14.402218004427468,130,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,7536.0,0.005049774046734533,0.0,0.0,0.0039048784402908317,0.0,0.12010654021919265,0.0,0.0,0.0,0.14368302275649653,4430272.0,28.0,1484808,7536,0,1414592,0,1.5707963267948966,0.2617993877991494,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7536.0,1.501414356831476e-13,0.3044989713284812,0.0,0.0,77752.0,77752,7536,1.5707963267948968,0.2617993877991494,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7536.0,0.06474133900008346,0.14368302275649653,0.15296761736821496,0.0,0,"{""2"": 64136, ""5"": 16384}"
