case_id,step,init_theta_deg,wall_rad_angle_deg,angle_apparent_deg,angle_error_vs_init_deg,angle_error_vs_wall_rad_deg,fit_point_count,phase_fluid_sum,phase_fluid_rel_change,rho_fluid_sum,rho_fluid_rel_change,phase_fluid_min,phase_fluid_max,wall_phase_pred_min,wall_phase_pred_max,wall_phase_profile_max,wall_phase_signed_max,wall_signed_logit_shift_max,max_mach,nonfinite_total,path_counts
cap_theta030_wall011,0,30.0,11.0,29.397304912728284,-0.6026950872717158,18.397304912728284,130,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,0.0,1.0028510456102697,0.9998532782184653,0.9997192263130221,4.852683375567842,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011,10000,30.0,11.0,29.58828571014186,-0.4117142898581392,18.58828571014186,130,52456.619804514485,-0.00260156609859834,53896.50718471004,-0.002529713388263026,4.350852317399897e-09,0.999765867429304,4.350852317399897e-09,0.9997728469346012,0.9998812978029824,0.9997724888384627,5.230248857894882,1.345548055111647e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011,20000,30.0,11.0,29.478157627215403,-0.5218423727845973,18.478157627215403,132,52416.87479698928,-0.003357268780333615,53856.801922192295,-0.003264544301291201,1.0018290908133031e-08,0.9997662050527469,1.0018290908133031e-08,0.9997731865804981,0.9998814689958266,0.9997728330033551,5.2234208865517004,1.5023668396000336e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011,30000,30.0,11.0,29.288470207960707,-0.7115297920392933,18.288470207960707,134,52385.59422491146,-0.003952030580049734,53825.55263068656,-0.00384287936199963,1.3336992300120618e-08,0.9997670640781626,1.3336992300120618e-08,0.9997738319672868,0.9998819045666083,0.9997734981737597,5.217372793504375,1.5608503242801692e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011,40000,30.0,11.0,29.213948464234335,-0.7860515357656652,18.213948464234335,134,52359.10042551777,-0.0044557777547979465,53799.085325092245,-0.004332713532635635,1.5255732447549136e-08,0.9997697600960986,1.5255732447549136e-08,0.9997763675166685,0.9998832715859227,0.9997760406528619,5.213740744902592,1.602851880478963e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011,50000,30.0,11.0,28.96071934786895,-1.0392806521310511,17.96071934786895,136,52335.80079732609,-0.004898791672878599,53775.80899652879,-0.00476349183973245,1.5544880656109053e-08,0.9997735002028174,1.599808390619154e-08,0.9997801007615862,0.9998851680050386,0.9997797645070441,5.21187671186393,1.6264855470443726e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall030,0,30.0,30.0,29.436042229566972,-0.5639577704330279,-0.5639577704330279,128,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,0.0,0.9997120216303849,0.9998402391501913,0.999712018191151,1.6337848099447816,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall030,10000,30.0,30.0,29.526538253214188,-0.4734617467858122,-0.4734617467858122,128,52521.55070794522,-0.001366984426447844,53961.37315723728,-0.0013292296540137719,4.322595208377558e-09,0.9997659853060332,4.322595208377558e-09,0.9997671150881183,0.9998708134442842,0.9997671123659407,1.7496516292034048,2.4741901536122737e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall030,20000,30.0,30.0,29.53875283052352,-0.46124716947647926,-0.46124716947647926,128,52521.10892328368,-0.0013753844211707874,53960.93181436041,-0.0013373976491006228,9.943025458635085e-09,0.9997661430883935,9.943025458635085e-09,0.9997672751318327,0.9998709005571501,0.9997672723969143,1.7520920619379903,2.4632207848799135e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall030,30000,30.0,30.0,29.548268096364456,-0.45173190363554383,-0.45173190363554383,128,52521.29449202414,-0.0013718560586532243,53961.11719753215,-0.0013339667365033958,1.3211671117536008e-08,0.9997661460136307,1.3211671117536008e-08,0.9997672753970973,0.9998709021721964,0.999767272674972,1.7524008695790365,2.4398976515036574e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall030,40000,30.0,30.0,29.559257531155335,-0.4407424688446646,-0.4407424688446646,128,52521.650509338455,-0.0013650868250834633,53961.47285882912,-0.0013273844625425028,1.50977724609571e-08,0.9997662986694857,1.50977724609571e-08,0.9997674210429498,0.9998709864546658,0.9997674183527311,1.7524564134178064,2.447429104115735e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall030,50000,30.0,30.0,29.57207998147039,-0.42792001852960837,-0.42792001852960837,128,52522.059043272086,-0.0013573190522624676,53961.880984228796,-0.001319831228007386,1.5380585680968846e-08,0.9997667183460961,1.618947100445587e-08,0.999767833612214,0.9998712181612794,0.9997678309511596,1.7524716977691126,2.4613873532937904e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta090_wall090,0,90.0,90.0,89.05967327023568,-0.9403267297643225,-0.9403267297643225,120,56417.22979492535,0.0,57853.1565651304,0.0,0.0,0.9999999946874567,0.0,0.9999999946874569,0.9999999946874569,0.9999999946874569,0.0,0.0,0,"{""2"": 80520}"
cap_theta090_wall090,10000,90.0,90.0,89.17575733217119,-0.8242426678288126,-0.8242426678288126,120,56420.33596414512,5.5057102786859405e-05,57856.25962818091,5.363688404829908e-05,4.764549061991005e-09,0.9999994359387021,4.764549061991005e-09,0.9999994359387021,0.9999994359387021,0.9999994359387021,0.0,6.0514285124063804e-06,0,"{""2"": 80520}"
cap_theta090_wall090,20000,90.0,90.0,89.30537477230449,-0.6946252276955107,-0.6946252276955107,120,56421.64879668165,7.832716658305197e-05,57857.571147884984,7.630668777108623e-05,1.0909695355114449e-08,0.9999997927160106,1.0909695355114449e-08,0.9999997738281889,0.9999997738281889,0.9999997738281889,0.0,5.473770080011742e-06,0,"{""2"": 80520}"
cap_theta090_wall090,30000,90.0,90.0,89.43440124722785,-0.5655987527721464,-0.5655987527721464,120,56422.692854548986,9.683317744413243e-05,57858.614161694444,9.433532910002728e-05,1.4155222876652281e-08,0.9999999005812477,1.4155222876652281e-08,0.9999998769627048,0.9999998769627048,0.9999998769627048,0.0,5.125249235780224e-06,0,"{""2"": 80520}"
cap_theta090_wall090,40000,90.0,90.0,89.55859353222434,-0.44140646777566417,-0.44140646777566417,120,56423.58310939875,0.00011261301727321487,57859.503526289336,0.00010970812200702662,1.5813964285731663e-08,0.9999999007080801,1.5874103133087713e-08,0.999999876195913,0.999999876195913,0.999999876195913,0.0,5.113184713026649e-06,0,"{""2"": 80520}"
cap_theta090_wall090,50000,90.0,90.0,89.67621493791745,-0.32378506208254976,-0.32378506208254976,120,56424.36312582402,0.00012643887203610832,57860.28276269819,0.00012317733363034547,1.5771649870468524e-08,0.9999999009443249,1.5771649870468524e-08,0.9999998763594378,0.9999998763594378,0.9999998763594378,0.0,4.993239866517319e-06,0,"{""2"": 80520}"
cap_theta150_wall150,0,150.0,150.0,147.7383793983049,-2.261620601695114,-2.261620601695114,160,58987.136903526036,0.0,60420.49376662252,0.0,0.0,0.9999998209771492,-2.828101203181861e-12,0.9566213238147722,0.9277627040792366,0.9565714338949282,0.0,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta150_wall150,10000,150.0,150.0,148.33290284256424,-1.6670971574357623,-1.6670971574357623,162,59009.05042209783,0.0003714965621680644,60442.38537167569,0.0003623208565247298,7.066260804452873e-09,0.9999998962244535,1.5487177965158314e-09,0.9744606382326592,0.9607233132864209,0.9741863531074773,0.0,2.8804039491026173e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta150_wall150,20000,150.0,150.0,148.98768905900496,-1.012310940995036,-1.012310940995036,162,59012.983121821315,0.0004381670250846497,60446.31413869952,0.0004273446055692418,1.370545057345306e-08,0.9999998992908492,1.8500057964176448e-09,0.9703911472833757,0.9544454745239964,0.9700902437661885,0.0,3.1243499403307044e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta150_wall150,30000,150.0,150.0,149.74053421768585,-0.25946578231415174,-0.25946578231415174,164,59016.071830329885,0.0004905294327333235,60449.39975849957,0.0004784136983172389,1.6204215361082687e-08,0.9999999015442482,2.129680932782596e-09,0.9671845487779862,0.9495320165053334,0.9668619967553888,0.0,3.071171825469296e-05,0,"{""2"": 64136, ""5"": 16384}"
