case_id,step,init_theta_deg,wall_rad_angle_deg,angle_apparent_deg,angle_error_vs_init_deg,angle_error_vs_wall_rad_deg,fit_point_count,phase_fluid_sum,phase_fluid_rel_change,rho_fluid_sum,rho_fluid_rel_change,phase_fluid_min,phase_fluid_max,wall_phase_pred_min,wall_phase_pred_max,wall_phase_raw_min,wall_phase_raw_max,wall_phase_profile_max,wall_phase_signed_profile_max,wall_phase_signed_min,wall_phase_signed_max,wall_signed_logit_shift_max,wall_contact_residual_mean,wall_contact_residual_min,wall_contact_residual_max,wall_signed_normal_grad_mean,wall_tangent_grad_mag_mean,wall_signed_delta_q_min,wall_signed_delta_q_max,wall_signed_q_clipped_sum,wall_stage7_active_weight_sum,wall_stage7_active_weight_mean,wall_stage7_delta_q_raw_p50,wall_stage7_delta_q_raw_p99,wall_stage7_delta_q_raw_max,wall_stage7_delta_q_limited_p50,wall_stage7_delta_q_limited_p99,wall_stage7_delta_q_limited_max,wall_stage7_denom_min,wall_stage7_denom_p50,wall_stage7_limiter_reason_sum,wall_stage7_limiter_reason_max,wall_stage7_normal_path_count,wall_stage7_normal_limiter_count,wall_stage7_active_path_count,wall_stage7_active_limiter_count,wall_stage7_actual_cos_p50,wall_stage7_target_cos_p50,wall_stage7_write_candidate_min,wall_stage7_write_candidate_max,wall_stage7_write_minus_profile_min,wall_stage7_write_minus_profile_max,wall_stage8_active_weight_sum,wall_stage8_active_weight_mean,wall_stage8_normal_grad_raw_p50,wall_stage8_normal_grad_target_p50,wall_stage8_contact_residual_mean,wall_stage8_contact_residual_p50,wall_stage8_contact_residual_p99,wall_stage8_tangent_grad_mag_p50,wall_stage8_target_cos_p50,wall_stage8_grad_write_delta_mag_p50,wall_stage8_grad_write_delta_mag_max,wall_stage8_limiter_reason_sum,wall_stage8_limiter_reason_max,wall_stage8_limiter_nonzero_count,wall_stage8_active_count,wall_stage8_delta_limiter_count,wall_stage8_normal_limiter_count,wall_stage8_normal_limiter_fraction,wall_stage8_vector_limiter_count,wall_stage8_vector_limiter_fraction,wall_stage8_missing_wall_data_count,wall_stage8_normal_low_agreement_count,wall_stage8_local_wall_angle_wall_p50,wall_stage8_local_wall_angle_wall_min,wall_stage8_local_wall_angle_wall_max,wall_stage8_local_wall_normal_mag_wall_p50,wall_stage8_fluid_wall_angle_p50,wall_stage8_fluid_wall_angle_min,wall_stage8_fluid_wall_angle_max,wall_stage8_fluid_wall_normal_mag_p50,wall_stage8_fluid_wall_data_count_p50,wall_stage8_fluid_wall_data_count_p05,wall_stage8_grad_candidate_use_sum,wall_stage8_grad_candidate_mag_p50,wall_stage8_grad_candidate_mag_max,wall_stage8_normal_agreement_p05,wall_stage8_normal_agreement_p50,wall_stage8_used_geom_normal_sum,wall_stage8_data_fluid_count,wall_stage8_active_fluid_count,wall_stage8_fluid_wall_angle_data_p50,wall_stage8_fluid_wall_angle_active_p50,wall_stage8_fluid_wall_data_count_data_p50,wall_stage8_fluid_wall_data_count_active_p50,wall_stage8_normal_agreement_data_p05,wall_stage8_normal_agreement_data_p50,wall_stage8_normal_agreement_active_p05,wall_stage8_normal_agreement_active_p50,wall_stage8_used_geom_normal_data_sum,wall_stage8_used_geom_normal_active_sum,wall_stage8_grad_write_delta_mag_active_p50,wall_stage8_grad_write_delta_mag_active_max,wall_stage8_contact_residual_active_p99,wall_stage8_normal_delta_raw_active_p99,wall_stage8_normal_delta_limited_active_p99,wall_stage8_vector_delta_raw_active_p99,wall_stage8_vector_delta_limited_active_p99,wall_stage8_limiter_ratio_active_p50,max_mach,nonfinite_total,path_counts
cap_theta030_wall025_mode1,0,30.0,,29.42706762604125,-0.57293237395875,nan,128,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,5956.469053172502,0.003991351225436294,0.0,0.0,0.00326474626795326,0.0,0.06048850096677427,0.0,0.0,0.0,0.02592438009843123,4430272.0,28.0,1484808,7536,0,0,0.0,0,0.0,1414592,0,1.5707963267948966,0.4363323129985824,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7536.0,1.501414356831476e-13,0.18648066199015453,0.0,0.0,77752.0,77752,7536,1.5707963267948968,0.43633231299858244,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7536.0,0.004755155794591384,0.02592438009843123,0.09334957811579658,1.0457756519310092e-05,5.709612681939279e-10,0.025855419413219265,0.025855419413219265,1.0,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall025_mode1,100,30.0,,29.461299306310597,-0.5387006936894032,nan,128,52523.74255896021,-0.0013253090615874155,53963.5628164013,-0.0012887053219557223,-1.8321365573391812e-31,0.9997682419323335,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,5936.337495634643,0.003977861334675278,0.0,0.0,0.0018507895692223702,0.0,0.032042070771786724,0.0,0.0,0.0,0.023954236196501274,4437488.0,28.0,1484868,7476,0,0,0.0,0,0.0,1414592,0,1.5707963267948966,0.4363323129985824,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7476.0,8.552178157419559e-12,0.18469258990203025,0.0,0.0,77752.0,77752,7476,1.5707963267948968,0.43633231299858244,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7476.0,0.006111007261614074,0.023954236196501274,0.08113149360507199,-0.0002033226441171313,-4.3433632450223534e-07,0.023881332495946865,0.023881332495946865,1.0,1.1687002064679345e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall025_mode1,200,30.0,,29.46434674751063,-0.5356532524893716,nan,128,52523.21540345149,-0.0013353322785004194,53963.03618804806,-0.0012984517074245245,1.911332552498007e-29,0.9997657828876375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,5954.54413304229,0.003990061361885925,0.0,0.0,0.0017071300548290038,0.0,0.026570230341324663,0.0,0.0,0.0,0.022869488189234344,4439568.0,28.0,1484844,7500,0,0,0.0,0,0.0,1414592,0,1.5707963267948966,0.4363323129985824,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7500.0,5.896206033334845e-11,0.18391745363239984,0.0,0.0,77752.0,77752,7500,1.5707963267948968,0.43633231299858244,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7500.0,0.00601581501378242,0.022869488189234344,0.07808713919456944,-0.00017547960315657672,-3.7634382970657044e-07,0.022804630713230196,0.022804630713230196,1.0,5.39282438891159e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall025_mode1,300,30.0,,29.467601973430156,-0.5323980265698438,nan,128,52522.74998514822,-0.0013441816380001246,53962.57123516306,-0.0013070566562735915,7.643989666755994e-25,0.9997635315861176,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,5968.63413130177,0.0039995028835856684,0.0,0.0,0.0016087440587236866,0.0,0.022931414180921483,0.0,0.0,0.0,0.021976133857002398,4440336.0,28.0,1484844,7500,0,0,0.0,0,0.0,1414592,0,1.5707963267948966,0.4363323129985824,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7500.0,1.2836546062045436e-10,0.18330230096983638,0.0,0.0,77752.0,77752,7500,1.5707963267948968,0.43633231299858244,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7500.0,0.005996803587700701,0.021976133857002398,0.07580015586578281,-0.00016626442800073455,-4.889240092819746e-07,0.021927850601687584,0.021927850601687584,1.0,5.906730505506053e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall025_mode1,400,30.0,,29.470670747844753,-0.5293292521552466,nan,128,52522.31063782333,-0.0013525352897493213,53962.13232718549,-0.0013151795883344247,2.4122454959691835e-22,0.9997673513741422,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,5982.286031869695,0.004008650841809727,0.0,0.0,0.0015443407308560666,0.0,0.02060576475474713,0.0,0.0,0.0,0.02130101640805114,4440560.0,28.0,1484836,7508,0,0,0.0,0,0.0,1414592,0,1.5707963267948966,0.4363323129985824,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7508.0,1.9150476814097006e-10,0.18275661148294162,0.0,0.0,77752.0,77752,7508,1.5707963267948968,0.43633231299858244,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7508.0,0.005949996590632656,0.02130101640805114,0.0735369317940504,-0.00016353025052863828,-4.576324314378909e-07,0.021235533585247164,0.021235533585247164,1.0,5.291268020396332e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall025_mode1,500,30.0,,29.473683400251968,-0.5263165997480321,nan,128,52521.88736119368,-0.0013605833768943077,53961.709473832474,-0.0013230053951865212,2.0560975703045044e-20,0.9997654331515234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,5995.823226883318,0.0040177219373571495,0.0,0.0,0.001493693906397457,0.0,0.019338057912930418,0.0,0.0,0.0,0.020738683192819067,4440112.0,28.0,1484820,7524,0,0,0.0,0,0.0,1414592,0,1.5707963267948966,0.4363323129985824,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7524.0,2.4234306584104966e-10,0.1822639853612965,0.0,0.0,77752.0,77752,7524,1.5707963267948968,0.43633231299858244,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7524.0,0.00587681297832276,0.020738683192819067,0.07178358160978135,-0.00016239118583254996,-3.986524177002446e-07,0.020662685496286096,0.020662685496286096,1.0,5.242325508442398e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall025_mode1,600,30.0,,29.476583199048978,-0.523416800951022,nan,128,52521.474415586665,-0.001368435032286098,53961.29694117111,-0.0013306401955374613,8.772029910763726e-19,0.9997654100871564,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,6009.197191459256,0.004026683654344612,0.0,0.0,0.001453487123697229,0.0,0.01817588752984573,0.0,0.0,0.0,0.020219558036034396,4439744.0,28.0,1484792,7552,0,0,0.0,0,0.0,1414592,0,1.5707963267948966,0.4363323129985824,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7552.0,2.81992582658148e-10,0.18181005486146407,0.0,0.0,77752.0,77752,7552,1.5707963267948968,0.43633231299858244,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7552.0,0.005827444365777234,0.020219558036034396,0.07021181904524099,-0.00016237665299335415,-2.62484934331268e-07,0.02011139067403683,0.02011139067403683,1.0,5.1875213244249596e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall025_mode1,700,30.0,,29.479358605819044,-0.5206413941809558,nan,128,52521.07054019606,-0.0013761142286121868,53960.89346965586,-0.001338107299974839,1.7902845564139296e-17,0.9997665360127826,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,6022.351818407901,0.004035498396085555,0.0,0.0,0.0014237935803494083,0.0,0.017757417501371497,0.0,0.0,0.0,0.019700453693599507,4438752.0,28.0,1484768,7576,0,0,0.0,0,0.0,1414592,0,1.5707963267948966,0.4363323129985824,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7576.0,3.129390090713125e-10,0.18137578344895589,0.0,0.0,77752.0,77752,7576,1.5707963267948968,0.43633231299858244,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7576.0,0.00567917245078695,0.019700453693599507,0.06879649498411636,-0.00016335283112165356,-1.5277618377356345e-07,0.019573710780041234,0.019573710780041234,1.0,5.1455212518663345e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall025_mode1,800,30.0,,29.48206497039654,-0.5179350296034606,nan,128,52520.67533112943,-0.0013836286453928976,53960.4986557983,-0.0013454141759159258,1.9446235314108157e-16,0.9997654505491655,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,6035.254347359079,0.004044144210288699,0.0,0.0,0.0013936996203905872,0.0,0.017242561875370162,0.0,0.0,0.0,0.019185764415729008,4438144.0,28.0,1484744,7600,0,0,0.0,0,0.0,1414592,0,1.5707963267948966,0.4363323129985824,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7600.0,3.3710984356451875e-10,0.18095885530577552,0.0,0.0,77752.0,77752,7600,1.5707963267948968,0.43633231299858244,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7600.0,0.005565268539033153,0.019185764415729008,0.06741961578466316,-0.00016511821381885898,-3.2329104029801985e-07,0.01904172083894542,0.01904172083894542,1.0,5.107979485287616e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall025_mode1,900,30.0,,29.484670619374818,-0.5153293806251824,nan,128,52520.28745837739,-0.0013910035711292817,53960.11117091899,-0.0013525854134192052,1.3112637018311115e-15,0.999765705610302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,6047.886268550422,0.004052608693806805,0.0,0.0,0.0013646604475390054,0.0,0.016439641456271303,0.0,0.0,0.0,0.01867903709264271,4437760.0,28.0,1484720,7624,0,0,0.0,0,0.0,1414592,0,1.5707963267948966,0.4363323129985824,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7624.0,3.560892586844084e-10,0.18055750779162003,0.0,0.0,77752.0,77752,7624,1.5707963267948968,0.43633231299858244,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7624.0,0.005466805151434321,0.01867903709264271,0.0661795842928874,-0.00016178692003243581,-1.2724671849748054e-07,0.01853797082302143,0.01853797082302143,1.0,5.071554388819309e-06,0,"{""2"": 64136, ""5"": 16384}"
