case_id,step,wall_rad_angle_deg,angle_apparent_deg,angle_error_vs_wall_rad_deg,phase_fluid_rel_change,rho_fluid_rel_change,max_mach,nonfinite_total,wall_stage7_active_weight_sum,wall_stage7_delta_q_raw_max,wall_stage7_delta_q_limited_max,wall_stage7_normal_path_count,wall_stage7_normal_limiter_count,wall_stage7_active_path_count,wall_stage7_active_limiter_count,wall_stage7_write_minus_profile_max,path_counts,run_status,first_bad_iteration
cap_theta030_wall005,0,5.0,27.567106597729435,22.567106597729435,0.0,0.0,0.0,0,7536.0,4.9567183589155475,4.9567183589155475,16384,10812,7536,1964,0.7886824765694744,"{""2"": 64136, ""5"": 16384}",failed_negative_evidence,1000
cap_theta030_wall008,0,8.0,27.913098468483533,19.913098468483533,0.0,0.0,0.0,0,7536.0,3.0856275254900933,3.0856275254900933,16384,10812,7536,1964,0.5072301935068071,"{""2"": 64136, ""5"": 16384}",failed_negative_evidence,1000
cap_theta030_wall011,50000,11.0,27.32270871484422,16.32270871484422,-0.009314090588389686,-0.00905684451901888,2.6414063918193277e-05,0,13336.0,5.0458358633802955,5.0458358633802955,16384,3852,13336,804,0.6083492548770606,"{""2"": 64136, ""5"": 16384}",runtime_sanity,
cap_theta030_wall015,50000,15.0,28.22226770880815,13.22226770880815,-0.00610467011250184,-0.005936065096655621,1.9108857878678794e-05,0,12172.0,2.168005915124388,2.168005915124388,16384,5844,12172,1632,0.2796372749292112,"{""2"": 64136, ""5"": 16384}",runtime_sanity,
cap_theta030_wall020,50000,20.0,29.5093068856508,9.509306885650801,-0.0033847649281624455,-0.003291281032418647,1.3840212969402408e-05,0,10180.0,1.590631292023442,1.590631292023442,16384,8060,10180,1856,0.11513762968027302,"{""2"": 64136, ""5"": 16384}",runtime_sanity,
cap_theta030_wall025,50000,25.0,30.08454616040969,5.08454616040969,-0.0015760746054826976,-0.00153254496687315,1.208181713980132e-05,0,8524.0,0.7616967472580424,0.7616967472580424,16384,9884,8524,2024,0.007130548699085096,"{""2"": 64136, ""5"": 16384}",runtime_sanity,
cap_theta030_wall030,50000,30.0,30.580346967705232,0.580346967705232,-0.00022000379435929032,-0.00021392750480558916,1.5645232909815722e-05,0,7060.0,0.6834466319816108,0.6834466319816108,16384,10972,7060,1648,0.008009853898621369,"{""2"": 64136, ""5"": 16384}",runtime_sanity,
