label,status,final_step,measured_H1_minus_H2_lu,target_H1_minus_H2_lu,absolute_H1_minus_H2_error_lu,H1_minus_H2_error_percent,fit_contact_angle_deg,fit_angle_offset_deg,fluid_phase_drift_percent,fluid_rho_drift_percent,phase_max_final,max_mach_fluid_over_frames,max_nonfinite_count
direct radAngle30 M0.2 W6,exploratory_not_validation,200000,25.98945146113799,19.613732022279812,6.375719438858177,32.50640638719755,45.06983783713527,15.069837837135267,-1.2682860498309427,-1.2484116386553217,1.0058582496778836,0.0006218351267254981,0
radAngle11 M0.2 W6,exploratory_not_validation,200000,23.40267431078651,19.613732022279812,3.7889422885066963,19.317803894754583,43.764889962858064,13.764889962858064,-3.5093172411398657,-3.4543252195802574,1.4273791122325794,0.0006677853550703425,0
radAngle11 M0.1 W6,exploratory_not_validation,200000,25.164747316950226,19.613732022279812,5.551015294670414,28.30167807108231,46.08245537145331,16.082455371453307,-2.7866170456135873,-2.742949946254566,1.4318890182653934,0.0005960404740080798,0
radAngle11 M0.2 W8,exploratory_not_validation,200000,23.039782708836285,19.613732022279812,3.426050686556472,17.46761239862317,42.95139339680901,12.95139339680901,-3.226817036461518,-3.1775590969175287,1.254020767404223,0.0007726763435722583,0
radAngle11 M0.05 W6,failed_negative_evidence,0,47.48976686071707,19.613732022279812,27.876034838437256,142.1250928011663,163.59725731395724,133.59725731395724,0.0,0.0,1.7954628943313247,0.0,0
