candidate_count,candidate_max,candidate_max_abs,candidate_mean,candidate_min,candidate_nonfinite,candidate_p95_abs,candidate_std,diff_count,diff_max,diff_max_abs,diff_mean,diff_min,diff_nonfinite,diff_p95_abs,diff_std,field,reference_count,reference_max,reference_max_abs,reference_mean,reference_min,reference_nonfinite,reference_p95_abs,reference_std,region
884736,0.5000001734296805,0.5000001734296805,0.00016552871187484468,-0.38930917932063475,0,0.04329854042019107,0.026614950805524545,884736,1.6666666666666667,2.0277777777777777,0.00016552871187484056,-2.0277777777777777,0,1.257891778655429e-07,0.18977011915321645,current_lap_vs_periodic,884736,2.0277777777777777,2.0277777777777777,4.11193712824132e-18,-1.6666666666666667,0,0.1337890381613448,0.19162752550016243,all
763392,0.5000001734296805,0.5000001734296805,0.00019184011678050416,-0.38930917932063475,0,0.05949226074517583,0.028652160811496255,763392,1.5416666666666667,1.5416666666666667,0.00019896578044905613,-1.0,0,1.7763568394002505e-15,0.10543065405108273,current_lap_vs_periodic,763392,1.0,1.5416666666666667,-7.125663668551947e-06,-1.5416666666666667,0,0.08916613565925588,0.10925495628136989,offline_fluid
711768,0.5000001734296805,0.5000001734296805,0.00020575413678235426,-0.38930917932063475,0,0.06699126516830184,0.029672985660811686,711768,3.750086662426628e-15,3.750086662426628e-15,-6.358257113288705e-18,-3.626728547107768e-15,0,9.806970050855538e-16,3.854482340012252e-16,current_lap_vs_periodic,711768,0.5000001734296807,0.5000001734296807,0.00020575413678236055,-0.38930917932063475,0,0.06699126516830188,0.029672985660811682,tclb_fluid
38836,0.3392089450698752,0.38930917932063475,-0.003161057205331177,-0.38930917932063475,0,0.1599351746872898,0.11524888847731148,38836,1.5416666666666667,1.5416666666666667,0.020405336925693247,-0.01090601349823121,0,1.6375789613221059e-15,0.1315169351106999,current_lap_vs_periodic,38836,0.33920894506987503,1.5416666666666667,-0.02356639413102442,-1.5416666666666667,0,0.1607213111804592,0.17449929983107515,interface_offline_fluid
37484,0.3392089450698752,0.38930917932063475,-0.003275072500966855,-0.38930917932063475,0,0.15998630581748993,0.11730732589603551,37484,3.524958103184872e-15,3.524958103184872e-15,-1.3081842761088811e-17,-3.191891195797325e-15,0,1.2212453270876722e-15,5.531277092824616e-16,current_lap_vs_periodic,37484,0.33920894506987503,0.38930917932063475,-0.0032750725009668418,-0.38930917932063475,0,0.15998630581748993,0.11730732589603549,interface_tclb_fluid
2856,0.3392089450698752,0.38930917932063475,-0.0036868916497445874,-0.38930917932063475,0,0.2201319627348083,0.12247371750510788,2856,1.5416666666666667,1.5416666666666667,0.09908963286244893,-2.456368441983159e-15,0,0.9166666666666303,0.2931606958198387,current_lap_vs_periodic,2856,0.33920894506987503,1.5416666666666667,-0.10277652451219355,-1.5416666666666667,0,0.9166666666666303,0.316563326323722,near_interface
2540,0.3392089450698752,0.38930917932063475,-0.004145575807744311,-0.38930917932063475,0,0.22285072871159162,0.12986157340848273,2540,2.1649348980190553e-15,2.456368441983159e-15,-1.786485325905979e-17,-2.456368441983159e-15,0,1.2351231148954867e-15,5.456742437087405e-16,current_lap_vs_periodic,2540,0.33920894506987503,0.38930917932063475,-0.00414557580774429,-0.38930917932063475,0,0.22285072871159134,0.1298615734084827,near_interface_tclb_fluid
872,0.3392089450698752,0.38930917932063475,-0.00653203231674452,-0.38930917932063475,0,0.2592578890827144,0.12310731603181306,872,1.5416666666666667,1.5416666666666667,0.3245412746045347,-1.6583956430338276e-15,0,1.1944444444442965,0.45641571787399277,current_lap_vs_periodic,872,0.33920894506987503,1.5416666666666667,-0.3310733069212792,-1.5416666666666667,0,1.1944444444442965,0.46822098478744023,contact_core
556,0.3392089450698752,0.38930917932063475,-0.010244482338491406,-0.38930917932063475,0,0.27119058551889796,0.1540483244023952,556,1.6306400674181987e-15,1.6583956430338276e-15,7.330649688893448e-18,-1.6583956430338276e-15,0,9.992007221626409e-16,4.805222004513323e-16,current_lap_vs_periodic,556,0.33920894506987503,0.38930917932063475,-0.010244482338491413,-0.38930917932063475,0,0.2711905855188983,0.15404832440239521,contact_core_tclb_fluid
51624,0.0,0.0,0.0,0.0,0,0.0,0.0,51624,1.5416666666666667,1.5416666666666667,0.0029422145720705566,-1.0,0,1.0000000009585872,0.40541910820755017,current_lap_vs_periodic,51624,1.0,1.5416666666666667,-0.0029422145720705566,-1.5416666666666667,0,1.0000000009585872,0.40541910820755017,offline_fluid_tclb_boundary
